rl_prob,brute_prob,traj,len_traj,len_traj_list_in_m,rl_actions_to_crash_lists,wall_discards
"[(0.0476, 6), (0.1905, 9)]",0.2439,"[[ 32 141], [ 41 118], [ 47 109], [62 93], [65 86], [68 77], [79 58], [86 45], [90 33], [105  18], [113  20]]","[[ 32 141], [ 41 118], [ 47 109], [62 93], [65 86], [68 77], [79 58], [86 45], [90 33], [105  18], [113  20]]",153.377,"[[4, 2, 2, 2, 5, 0], [5, 1, 3, 6, 2, 1, 5, 1, 1]]",790
"[(0.5556, 2)]",0.5385,"[[116  66], [96 53], [88 40], [80 24]]","[[116  66], [96 53], [88 40], [80 24]]",57.0066,"[[6, 2]]",790
"[(0.1905, 7), (0.0952, 7)]",0.1379,"[[36 88], [45 95], [ 62 100], [ 69 103], [ 78 109], [ 91 115], [100 119], [128 113]]","[[36 88], [45 95], [ 62 100], [ 69 103], [ 78 109], [ 91 115], [100 119], [128 113]]",100.3565,"[[5, 2, 2, 3, 3, 7, 6], [7, 3, 4, 4, 4, 4, 4]]",790
"[(0.4444, 2), (0.0476, 5)]",0.6,"[[95 23], [88 40], [96 53], [105  59], [113  67], [130  82], [124  97]]","[[95 23], [88 40], [96 53], [105  59], [113  67], [130  82], [124  97]]",94.6065,"[[5, 8], [7, 1, 5, 6, 0]]",790
"[(0.4, 1), (0.2222, 2), (0.0588, 4)]",0.72,"[[ 84 165], [ 84 143], [109 132], [117 115], [124  89], [126  70], [113  65]]","[[ 84 165], [ 84 143], [109 132], [117 115], [124  89], [126  70], [113  65]]",128.0605,"[[6], [4, 6], [4, 4, 5, 4]]",790
"[(0.3333, 8), (0.0476, 5)]",0.2121,"[[ 47 113], [ 47 109], [62 93], [65 86], [68 77], [79 58], [86 45], [90 33], [105  18]]","[[ 47 113], [ 47 109], [62 93], [65 86], [68 77], [79 58], [86 45], [90 33], [105  18]]",113.616,"[[7, 3, 6, 1, 7, 1, 2, 6], [4, 3, 6, 5, 5]]",790
[],0.0,"[[68 46], [72 56], [67 72], [64 77], [59 93], [ 56 113], [ 50 133], [ 49 137], [ 45 145], [ 47 162]]","[[68 46], [72 56], [67 72], [64 77], [59 93], [ 56 113], [ 50 133], [ 49 137], [ 45 145], [ 47 162]]",121.4164,[],790
"[(0.4, 1), (0.2308, 3), (0.2381, 7)]",0.4828,"[[142 170], [148 141], [154 132], [158 124], [160 118], [168  92], [171  85], [170  59]]","[[142 170], [148 141], [154 132], [158 124], [160 118], [168  92], [171  85], [170  59]]",116.5376,"[[8], [2, 4, 4], [0, 8, 3, 1, 1, 1, 4]]",790
"[(0.2, 1)]",0.4118,"[[77 80], [ 69 103], [ 65 113], [ 60 136], [ 56 155]]","[[77 80], [ 69 103], [ 65 113], [ 60 136], [ 56 155]]",78.0756,[[4]],790
[],0.0,"[[ 17 134], [ 29 122], [ 39 110], [ 43 105], [62 89], [66 81], [71 75]]","[[ 17 134], [ 29 122], [ 39 110], [ 43 105], [62 89], [66 81], [71 75]]",80.5882,[],790
