rl_prob,brute_prob,traj,len_traj,len_traj_list_in_m,rl_actions_to_crash_lists,wall_discards
"[(0.7647, 2), (0.4118, 1)]",0.7647,"[[99 77], [110  72], [86 59], [68 68], [56 78]]","[[99 77], [110  72], [86 59], [68 68], [56 78]]",75.1228,"[[7, 4], [0]]",710
"[(0.381, 2)]",0.9697,"[[79 11], [86 23], [90 45], [93 50], [102  55], [104  57], [112  67], [99 77], [104  89]]","[[79 11], [86 23], [90 45], [93 50], [102  55], [104  57], [112  67], [99 77], [104  89]]",97.4156,"[[4, 8]]",710
"[(0.2857, 4)]",0.2857,"[[70 33], [65 55], [68 68], [68 92], [ 77 106], [ 89 113]]","[[70 33], [65 55], [68 68], [68 92], [ 77 106], [ 89 113]]",90.4385,"[[5, 2, 5, 4]]",710
"[(0.4286, 2)]",0.4828,"[[105  15], [92 23], [90 45], [93 50], [102  55], [104  57], [112  67], [99 77]]","[[105  15], [92 23], [90 45], [93 50], [102  55], [104  57], [112  67], [99 77]]",85.5175,"[[0, 3]]",710
[],0.0,"[[ 64 123], [ 64 106], [60 87], [50 74]]","[[ 64 123], [ 64 106], [60 87], [50 74]]",52.8177,[],710
"[(0.1905, 5), (0.1905, 4)]",0.4865,"[[ 61 158], [ 64 153], [ 69 126], [ 68 102], [74 78], [81 56], [92 23], [115  19], [135  30], [161  38]]","[[ 61 158], [ 64 153], [ 69 126], [ 68 102], [74 78], [81 56], [92 23], [115  19], [135  30], [161  38]]",213.2949,"[[7, 2, 4, 6, 4], [3, 2, 0, 5]]",710
"[(0.4762, 1), (0.3333, 2)]",0.4828,"[[131  72], [120  92], [115 117], [ 98 122], [ 83 126], [ 66 130], [ 55 134], [ 38 141]]","[[131  72], [120  92], [115 117], [ 98 122], [ 83 126], [ 66 130], [ 55 134], [ 38 141]]",129.1185,"[[5], [8, 0]]",710
[],0.0,"[[85 35], [75 48], [62 68], [56 78], [49 92], [ 38 106], [ 27 120]]","[[85 35], [75 48], [62 68], [56 78], [49 92], [ 38 106], [ 27 120]]",103.1783,[],710
"[(0.4286, 6)]",0.3448,"[[126  99], [124 104], [115 117], [ 99 118], [ 92 113], [ 77 106], [68 92], [62 87]]","[[126  99], [124 104], [115 117], [ 99 118], [ 92 113], [ 77 106], [68 92], [62 87]]",86.8366,"[[4, 4, 7, 5, 8, 5]]",710
[],0.0,"[[ 79 161], [ 72 154], [ 67 148], [ 55 135], [ 43 122]]","[[ 79 161], [ 72 154], [ 67 148], [ 55 135], [ 43 122]]",53.0934,[],710
"[(0.0952, 5)]",0.16,"[[ 18 133], [ 27 120], [ 38 106], [53 90], [70 71], [81 56], [90 49]]","[[ 18 133], [ 27 120], [ 38 106], [53 90], [70 71], [81 56], [90 49]]",111.0455,"[[7, 3, 5, 5, 5]]",710
"[(0.4706, 1), (0.4118, 2), (0.1765, 3)]",0.4706,"[[111  21], [121  27], [149  42], [162  51], [177  64]]","[[111  21], [121  27], [149  42], [162  51], [177  64]]",79.0875,"[[5], [3, 0], [4, 5, 5]]",710
"[(0.381, 2), (0.1905, 4)]",0.4595,"[[81 41], [76 56], [74 78], [71 89], [ 74 113], [ 78 133], [ 82 148], [ 89 160], [ 93 173], [125 176]]","[[81 41], [76 56], [74 78], [71 89], [ 74 113], [ 78 133], [ 82 148], [ 89 160], [ 93 173], [125 176]]",169.0451,"[[1, 4], [6, 6, 6, 4]]",710
"[(0.4118, 3), (0.0588, 4)]",0.4118,"[[127  28], [139  36], [149  42], [162  51], [177  64]]","[[127  28], [139  36], [149  42], [162  51], [177  64]]",61.7449,"[[2, 2, 6], [2, 2, 5, 3]]",710
[],0.0,"[[ 29 122], [ 39 122], [ 64 123], [ 83 126]]","[[ 29 122], [ 39 122], [ 64 123], [ 83 126]]",54.2554,[],710
[],0.0,"[[ 68 102], [ 72 104]]","[[ 68 102], [ 72 104]]",4.4721,[],710
[],0.0,"[[50 82], [53 90], [ 64 106], [ 69 126], [ 75 133]]","[[50 82], [53 90], [ 64 106], [ 69 126], [ 75 133]]",57.7956,[],710
[],0.0,"[[71 64], [65 59]]","[[71 64], [65 59]]",7.8102,[],710
[],0.0,"[[71 64], [62 68], [57 71], [50 74]]","[[71 64], [62 68], [57 71], [50 74]]",23.2956,[],710
"[(0.3846, 2)]",0.3846,"[[ 81 114], [ 99 118], [115 117], [123  95]]","[[ 81 114], [ 99 118], [115 117], [123  95]]",57.8797,"[[4, 4]]",710
"[(0.4615, 2)]",0.4615,"[[ 89 123], [ 77 106], [68 92], [62 87]]","[[ 89 123], [ 77 106], [68 92], [62 87]]",45.2622,"[[1, 2]]",710
[],0.0,"[[104 129], [ 95 125], [ 76 114]]","[[104 129], [ 95 125], [ 76 114]]",31.8034,[],710
"[(0.381, 4), (0.381, 2)]",0.7719,"[[167  92], [170  91], [173  74], [162  51], [149  42], [143  38], [115  19], [92 23], [87 30], [76 41], [65 55], [61 60], [50 74], [47 79], [38 95]]","[[167  92], [170  91], [173  74], [162  51], [149  42], [143  38], [115  19], [92 23], [87 30], [76 41], [65 55], [61 60], [50 74], [47 79], [38 95]]",216.4849,"[[2, 5, 2, 3], [2, 4]]",710
"[(0.2857, 4)]",0.32,"[[ 99 120], [ 93 117], [ 89 113], [ 77 106], [68 92], [65 81], [55 62]]","[[ 99 120], [ 93 117], [ 89 113], [ 77 106], [68 92], [65 81], [55 62]]",75.7735,"[[3, 4, 5, 4]]",710
[],0.0,"[[60 50], [90 49]]","[[60 50], [90 49]]",30.0167,[],710
[],0.1111,"[[60 87], [70 71], [83 51]]","[[60 87], [70 71], [83 51]]",42.7217,[],710
"[(0.2857, 4)]",0.6444,"[[104  57], [121  67], [126  70], [123  87], [120  92], [115 106], [104 129], [ 91 141], [ 82 148], [ 89 160], [ 93 173], [126 162]]","[[104  57], [121  67], [126  70], [123  87], [120  92], [115 106], [104 129], [ 91 141], [ 82 148], [ 89 160], [ 93 173], [126 162]]",180.3814,"[[5, 5, 8, 5]]",710
"[(0.1111, 2)]",0.1111,"[[105  15], [92 23], [83 51]]","[[105  15], [92 23], [83 51]]",44.6752,"[[4, 4]]",710
[],0.0769,"[[54 97], [60 87], [70 71], [83 51]]","[[54 97], [60 87], [70 71], [83 51]]",54.3836,[],710
[],0.0,"[[38 95], [ 38 106]]","[[38 95], [ 38 106]]",11.0,[],710
[],0.0,"[[ 51 162], [ 55 150], [ 58 138], [ 58 124], [ 64 106], [60 87]]","[[ 51 162], [ 55 150], [ 58 138], [ 58 124], [ 64 106], [60 87]]",77.4086,[],710
[],0.0,"[[ 64 153], [ 67 148], [ 66 130], [ 64 106]]","[[ 64 153], [ 67 148], [ 66 130], [ 64 106]]",47.9419,[],710
"[(0.3846, 3), (0.3846, 1)]",0.3846,"[[ 77 106], [68 92], [74 78], [76 56]]","[[ 77 106], [68 92], [74 78], [76 56]]",53.9656,"[[1, 0, 0], [5]]",710
"[(0.6667, 3), (0.6667, 1), (0.2381, 4)]",0.8108,"[[123  87], [120  92], [115 106], [104 129], [ 91 141], [ 82 148], [ 89 160], [ 93 173], [101 176], [135 171]]","[[123  87], [120  92], [115 106], [104 129], [ 91 141], [ 82 148], [ 89 160], [ 93 173], [101 176], [135 171]]",145.6893,"[[2, 5, 3], [5], [4, 7, 4, 4]]",710
"[(0.1905, 5)]",0.2759,"[[104 129], [102 125], [ 96 120], [ 89 113], [ 77 106], [68 92], [65 82], [61 60]]","[[104 129], [102 125], [ 96 120], [ 89 113], [ 77 106], [68 92], [65 82], [61 60]]",85.5186,"[[3, 3, 7, 1, 7]]",710
"[(0.4706, 2)]",0.4706,"[[80 85], [76 89], [ 72 104], [ 69 126], [ 64 153]]","[[80 85], [76 89], [ 72 104], [ 69 126], [ 64 153]]",70.8437,"[[0, 4]]",710
"[(0.4762, 1), (0.1905, 4)]",0.4762,"[[123  87], [126  70], [121  67], [113  64], [86 61], [65 59]]","[[123  87], [126  70], [121  67], [113  64], [86 61], [65 59]]",79.8988,"[[3], [3, 3, 6, 3]]",710
[],0.0,"[[ 64 125], [ 69 139], [ 72 154]]","[[ 64 125], [ 69 139], [ 72 154]]",30.1631,[],710
"[(0.2857, 3), (0.1429, 4)]",0.3448,"[[81 33], [81 41], [76 56], [74 78], [ 68 102], [ 64 123], [ 69 139], [ 68 154]]","[[81 33], [81 41], [76 56], [74 78], [ 68 102], [ 64 123], [ 69 139], [ 68 154]]",123.8147,"[[4, 2, 8], [2, 5, 4, 4]]",710
[],0.0,"[[ 55 134], [ 56 122], [54 97], [56 78]]","[[ 55 134], [ 56 122], [54 97], [56 78]]",56.2264,[],710
"[(0.2941, 2)]",0.2941,"[[74 78], [71 89], [ 72 109], [ 75 131], [ 78 151]]","[[74 78], [71 89], [ 72 109], [ 75 131], [ 78 151]]",73.8541,"[[2, 4]]",710
"[(0.3077, 2)]",0.3077,"[[81 41], [76 56], [74 78], [75 90]]","[[81 41], [76 56], [74 78], [75 90]]",49.9437,"[[5, 3]]",710
[],0.0,"[[ 64 125], [ 78 114]]","[[ 64 125], [ 78 114]]",17.8045,[],710
"[(0.381, 4), (0.381, 3)]",0.6829,"[[168  91], [170  91], [173  74], [162  51], [149  42], [143  38], [115  19], [92 23], [85 35], [76 56], [71 64]]","[[168  91], [170  91], [173  74], [162  51], [149  42], [143  38], [115  19], [92 23], [85 35], [76 56], [71 64]]",171.1371,"[[2, 0, 6, 3], [8, 1, 4]]",710
[],0.0,"[[133 154], [129 166], [127 170], [117 186]]","[[133 154], [129 166], [127 170], [117 186]]",35.9892,[],710
"[(0.381, 5), (0.381, 2)]",0.4595,"[[74 78], [71 89], [ 74 113], [ 78 133], [ 82 148], [ 89 160], [ 93 173], [129 166], [141 162], [157 129]]","[[74 78], [71 89], [ 74 113], [ 78 133], [ 82 148], [ 89 160], [ 93 173], [129 166], [141 162], [157 129]]",185.0003,"[[5, 5, 4, 2, 8], [4, 4]]",710
"[(0.5238, 5), (0.4286, 2), (0.2857, 4)]",0.7959,"[[110  72], [129  79], [120  92], [115 106], [104 129], [ 91 141], [ 82 148], [ 89 160], [ 93 173], [129 166], [141 162], [143 160], [157 133]]","[[110  72], [129  79], [120  92], [115 106], [104 129], [ 91 141], [ 82 148], [ 89 160], [ 93 173], [129 166], [141 162], [143 160], [157 133]]",215.5741,"[[1, 3, 2, 2, 4], [7, 5], [5, 3, 6, 2]]",710
[],0.0,"[[ 78 133], [ 66 130], [ 44 133], [ 34 131]]","[[ 78 133], [ 66 130], [ 44 133], [ 34 131]]",44.771,[],710
[],0.0,"[[ 69 126], [ 64 125]]","[[ 69 126], [ 64 125]]",5.099,[],710
"[(0.1905, 6)]",0.16,"[[47 81], [53 90], [ 64 106], [ 69 126], [ 75 135], [ 82 148], [ 89 160]]","[[47 81], [53 90], [ 64 106], [ 69 126], [ 75 135], [ 82 148], [ 89 160]]",90.3226,"[[6, 3, 8, 4, 5, 4]]",710
[],0.0,"[[ 90 170], [ 79 161], [ 72 154], [ 67 148], [ 59 143], [ 44 133], [ 29 122], [ 27 120]]","[[ 90 170], [ 79 161], [ 72 154], [ 67 148], [ 59 143], [ 44 133], [ 29 122], [ 27 120]]",80.8137,[],710
[],0.0,"[[ 55 127], [ 76 138], [ 84 145]]","[[ 55 127], [ 76 138], [ 84 145]]",34.3367,[],710
[],0.0,"[[56 78], [62 87], [64 89], [ 68 102], [ 72 109]]","[[56 78], [62 87], [64 89], [ 68 102], [ 72 109]]",35.3088,[],710
[],0.0,"[[ 76 145], [ 75 135]]","[[ 76 145], [ 75 135]]",10.0499,[],710
"[(0.4444, 2)]",0.4444,"[[ 84 135], [ 82 148], [ 89 160]]","[[ 84 135], [ 82 148], [ 89 160]]",27.0454,"[[5, 4]]",710
"[(0.4762, 1), (0.1429, 4)]",0.56,"[[ 89 160], [ 82 148], [ 78 133], [ 74 113], [68 92], [68 68], [63 38]]","[[ 89 160], [ 82 148], [ 78 133], [ 74 113], [68 92], [68 68], [63 38]]",126.0668,"[[6], [6, 6, 1, 5]]",710
