Trajectory,StartX,StartY,EndX,EndY,N_nodes,length,Prob_collision_Brute_force,Prob_collision_IDA,Expected Probability Collision,Prob_collision_real_world,Prob_collision_robotino_calibration_error,Prob_collision_robotino_lights_error,Risk,Prob_collision_robotino_object_detection_error
"[[142  91], [147  94], [159 101], [162 114], [158 124], [137 145], [152 162]]",142,91,152,162,7,96.2054,1.0,0.8024,0.3739,,,,45.1879,
"[[109  81], [111  88], [93 80], [80 85], [72 89], [ 59 112]]",109,81,59,112,6,76.2702,0.3333,0.2611,0.0263,,,,35.5115,
"[[116 103], [128 101], [141  97], [147  94], [159 101], [167 108]]",116,103,167,108,6,56.9978,0.3333,0.2354,0.1134,,,,35.3737,
"[[77  4], [78  8], [64 46], [73 56], [89 50], [89 47]]",77,4,89,47,6,78.1617,1.0,0.9087,0.8128,,,,45.0589,
"[[ 90 164], [ 96 169], [101 172], [108 175], [116 178], [137 181]]",90,164,137,181,6,51.0142,0.0476,0.0825,0.0499,,,,31.2454,
"[[121 158], [ 99 165], [ 84 156], [ 91 140]]",121,158,91,140,4,58.0439,0.4615,0.295,0.1187,,,,37.2145,
"[[101 172], [ 96 169], [ 89 162], [ 84 156], [ 77 153]]",101,172,77,153,5,31.1565,0.0,0.0337,0.0394,,,,30.4228,
"[[ 91 140], [107 135], [127 124], [137 125], [155 149]]",91,140,155,149,5,79.6384,0.2353,0.4939,0.2648,,,,34.1342,
"[[ 72 150], [ 67 137]]",72,150,67,137,2,13.9284,0.0,0.0365,0.0606,,,,30.2996,
"[[97 21], [114  29], [143  39], [155  53], [182  77], [171  96], [168 102], [166 104], [162 114], [158 124], [155 131], [144 151], [138 160], [127 147]]",97,21,127,147,14,215.3469,0.4151,0.6682,0.0974,,,,37.6757,
"[[124 120], [121 113], [111  88], [93 80], [85 76], [78 70], [76 68], [75 67], [63 50]]",124,120,63,50,9,97.4544,0.3636,0.4518,0.2745,,,,36.0963,
"[[88  0], [78  8], [64 46], [64 77], [ 74 102], [ 83 123], [ 88 139], [ 90 155], [ 92 156]]",88,0,92,156,9,169.1999,0.9697,0.9614,0.8661,,,,45.2765,
"[[118 155], [108 166], [101 172]]",118,155,101,172,3,24.0856,0.0,0.0034,0.0512,,,,30.3722,
"[[ 19 131], [ 41 111], [ 62 108]]",19,131,62,108,3,50.9453,0.7778,0.3301,0.2803,,,,41.6868,
"[[126  18], [157  41], [174  65], [182  77], [165  87], [151  92], [147  94], [141  97], [132 103], [121 113], [115 117], [ 98 130], [ 88 139]]",126,18,88,139,13,195.9515,0.898,0.7337,0.0191,,,,44.4425,
"[[165  86], [143  87], [119  72], [105  65], [86 62], [55 57]]",165,86,55,57,6,116.6132,0.0952,0.4407,0.1611,,,,32.3951,
"[[116 158], [ 99 165], [ 89 162], [ 88 139], [ 83 123], [ 74 102], [75 80], [66 53]]",116,158,66,53,8,141.9404,0.3793,0.5405,0.2522,,,,36.6389,
"[[98 39], [96 42], [89 50], [73 56], [64 46], [78  8], [111  19], [131  27]]",98,39,131,27,8,141.6,1.0,0.8077,0.7934,,,,45.5124,
"[[ 40 129], [ 42 123], [ 42 105], [50 82], [54 72]]",40,129,54,72,5,59.4465,0.5294,0.3521,0.2309,,,,38.1955,
"[[72 89], [64 77], [55 57]]",72,89,55,57,3,36.3539,0.0,0.1068,0.15,,,,30.4599,
"[[93 57], [86 62], [82 70], [72 89], [ 62 108]]",93,57,62,108,5,60.4884,0.0,0.1022,0.0086,,,,30.6325,
"[[132 124], [127 117], [125 113], [111  88], [93 80], [82 70], [73 56], [60 41]]",132,124,60,41,8,112.7841,0.931,0.515,0.3184,,,,44.3197,
"[[ 58 138], [ 79 136], [ 98 130], [114 121], [121 113], [132 103], [138 100], [147  94], [159 101], [164 105]]",58,138,164,105,10,122.6941,0.2162,0.3906,0.2395,,,,34.1689,
"[[108 175], [104 173], [ 96 169], [ 90 164], [ 69 155], [ 46 150], [ 18 138]]",108,175,18,138,7,98.0743,0.08,0.2135,0.3106,,,,32.0452,
"[[ 69 155], [ 72 150], [ 88 139], [ 98 130], [115 117], [117 109], [124  92], [130  81], [137  73], [141  64]]",69,155,141,64,10,119.742,0.0541,0.4381,0.0217,,,,31.8298,
"[[183  46], [167  71], [182  77], [165  87], [151  92], [147  94], [141  97], [132 103], [121 113], [115 117], [ 98 117], [ 83 123], [ 66 125]]",183,46,66,125,13,174.7732,0.9796,0.845,0.8366,,,,45.4579,
"[[133  69], [124  56]]",133,69,124,56,2,15.8114,0.2,0.1228,0.0238,,,,33.1731,
"[[127  71], [102  70], [96 77], [80 85], [72 89], [66 92], [ 43 103], [ 30 115], [ 25 129], [ 18 138]]",127,71,18,138,10,137.2353,0.5676,0.5254,0.4081,,,,39.2979,
"[[76 68], [75 80], [ 74 102], [ 76 114]]",76,68,76,114,4,46.2298,0.4615,0.1931,0.0708,,,,37.13,
"[[ 66 111], [ 68 100], [64 77], [64 46], [78  8], [114  29], [136  41]]",66,111,136,41,7,172.7597,0.96,0.7811,0.7561,,,,45.1632,
"[[109  81], [111  88], [125 113], [137 125], [155 131], [161 129]]",109,81,161,129,6,78.202,0.381,0.5195,0.3395,,,,36.2074,
"[[117 170], [ 99 165], [ 84 156], [ 81 151]]",117,170,81,151,4,42.0053,0.4615,0.1652,0.0381,,,,37.0998,
"[[120 180], [116 178], [108 175], [104 173], [ 96 169], [ 90 164], [ 69 155], [ 48 157], [ 49 165]]",120,180,49,165,9,86.2474,0.0303,0.04,0.0097,,,,31.25,
"[[72 89], [ 74 102], [ 76 114], [ 79 136], [ 77 153]]",72,89,77,153,5,64.6393,0.4706,0.1533,0.1283,,,,37.3918,
"[[136  41], [143  39], [155  53], [182  77], [165  87], [151  92], [147  94], [141  97], [132 103], [121 113], [115 117], [ 98 130], [ 88 139], [ 68 148], [ 48 157], [ 49 165]]",136,41,49,165,16,227.2875,0.7213,0.7601,0.3843,,,,42.1397,
"[[ 92 156], [ 79 136], [ 72 126], [ 59 112]]",92,156,59,112,4,55.1652,0.0,0.008,0.0279,,,,30.5944,
"[[ 85 114], [ 88 139], [ 89 162], [ 99 165], [116 158]]",85,114,116,158,5,77.0262,0.5294,0.3911,0.2444,,,,38.3212,
"[[81 70], [64 77], [50 82], [ 39 100]]",81,70,39,100,4,54.3459,0.4615,0.1286,0.1966,,,,37.188,
"[[167  72], [167  71], [182  77], [165  87], [151  92], [124  85], [111  88], [93 80], [64 77]]",167,72,64,77,9,141.8314,0.5455,0.5921,0.585,,,,39.0147,
"[[122 162], [ 99 165], [ 84 156], [ 79 136], [ 76 114], [69 92], [50 82]]",122,162,50,82,7,128.0645,0.6,0.4513,0.2434,,,,39.6957,
"[[89 50], [85 62], [81 70], [75 80], [ 74 102], [ 72 126]]",89,50,72,126,6,79.3612,0.2857,0.3446,0.0985,,,,34.8529,
"[[ 48 139], [ 55 140], [ 79 136], [ 98 130], [116 124]]",48,139,116,124,5,70.3006,0.0,0.0129,0.1112,,,,30.7026,
"[[ 55 140], [ 52 135]]",55,140,52,135,2,5.831,0.0,0.0443,0.0528,,,,30.2417,
"[[73 56], [75 80]]",73,56,75,80,2,24.0832,0.0,0.0081,0.1052,,,,30.3722,
"[[50 82], [64 77], [85 78], [111  88], [127 104]]",50,82,127,104,5,86.3741,0.0,0.1437,0.1194,,,,30.8176,
"[[125 113], [115 117], [ 98 117], [ 85 114], [ 62 116]]",125,113,62,116,5,64.1988,0.0,0.0546,0.0271,,,,30.659,
"[[91  6], [78  8], [64 46], [73 56], [82 70], [93 80], [111  88], [117 109], [123 129]]",91,6,123,129,9,161.0315,0.9697,0.888,0.8738,,,,45.2181,
"[[ 48 127], [ 59 112], [63 99], [79 74]]",48,127,79,74,4,61.8842,0.0,0.0476,0.0487,,,,30.6425,
"[[ 92 156], [ 79 167]]",92,156,79,167,2,17.0294,0.2,0.0864,0.0107,,,,33.1818,
"[[114  85], [111  88], [93 80], [85 76], [78 70], [76 68], [75 67], [55 57]]",114,85,55,57,8,68.7075,0.3793,0.2737,0.1362,,,,36.1152,
"[[114 180], [108 175], [104 173], [ 90 155], [ 88 139], [ 83 123], [ 74 102], [72 89], [75 67]]",114,180,75,67,9,126.1773,0.4242,0.446,0.3561,,,,37.1682,
"[[136  41], [143  39], [155  53], [182  77], [171  96], [168 102], [166 104], [162 114], [158 124], [155 131], [144 151], [138 160], [130 164], [126 168]]",136,41,126,168,14,170.7347,0.434,0.7441,0.744,,,,37.627,
"[[127 124], [121 113], [111  88], [93 80], [85 76], [78 70], [76 68], [75 67], [63 50]]",127,124,63,50,9,102.3686,0.3636,0.4765,0.2745,,,,36.1314,
"[[119  20], [78  8], [64 46], [73 56], [86 62]]",119,20,86,62,5,110.9884,0.9412,0.774,0.7072,,,,44.4527,
"[[ 66 111], [ 76 114], [ 98 117], [127 124]]",66,111,127,124,4,62.4768,0.0,0.0739,0.171,,,,30.6467,
"[[ 62 149], [ 63 128], [ 67 111], [72 89], [75 80], [81 70]]",62,149,81,70,6,82.1978,0.2381,0.0626,0.0013,,,,34.1925,
"[[ 72 150], [ 67 137], [ 67 111], [72 89], [79 74]]",72,150,79,74,5,79.0424,0.1765,0.0875,0.0082,,,,33.2891,
"[[66 92], [68 91]]",66,92,68,91,2,2.2361,0.0,0.0428,0.0543,,,,30.216,
"[[ 68 148], [ 88 139], [ 98 130], [115 117], [127 104]]",68,148,127,104,5,74.4781,0.0,0.0872,0.1336,,,,30.7325,
"[[119  20], [114  29]]",119,20,114,29,2,10.2956,0.0,0.0853,0.0117,,,,30.2736,
"[[96 70], [119  72], [130  81], [142  91], [147  94], [165 101]]",96,70,165,101,6,78.0641,0.0,0.1641,0.1502,,,,30.7582,
"[[146 173], [124 166], [ 99 165], [ 84 156], [ 81 151], [ 67 137], [ 50 127], [ 42 105]]",146,173,42,105,8,134.3621,0.4138,0.4119,0.1563,,,,37.078,
"[[131  27], [111  19], [78  8], [64 46], [73 56], [93 57]]",131,27,93,57,6,130.3012,0.7619,0.8193,0.7504,,,,42.0268,
"[[68 44], [73 56], [97 65], [119  72], [143  87], [171  91]]",68,44,171,91,6,118.305,0.4762,0.4202,0.4003,,,,37.8555,
"[[ 79 167], [108 166], [135 170]]",79,167,135,170,3,56.3119,0.0,0.0256,0.1067,,,,30.6026,
"[[ 46 158], [ 69 155]]",46,158,69,155,2,23.1948,0.0,0.0844,0.0126,,,,30.3658,
"[[76 68], [78 70], [85 75], [93 80], [111  88], [124  92], [147  94], [159 101], [167 108]]",76,68,167,108,9,101.7733,0.3333,0.2262,0.1134,,,,35.6939,
"[[107 178], [117 170], [121 168], [127 165], [145 145], [137 125], [125 119]]",107,178,125,119,7,85.8509,0.24,0.3585,0.107,,,,34.2458,
"[[120 121], [125 119], [127 117], [138 100], [147  94], [175  92]]",120,121,175,92,6,67.35,0.2857,0.4052,0.2493,,,,34.7671,
"[[ 88 139], [ 83 123], [ 74 102], [72 89], [80 85], [85 78], [102  70]]",88,139,102,70,7,89.0982,0.4,0.4159,0.1502,,,,36.5571,
"[[144 151], [145 145], [137 125], [124 120], [115 117], [ 92 115]]",144,151,92,115,6,74.1254,0.4762,0.3575,0.0665,,,,37.5397,
"[[91 49], [89 50], [73 58], [54 72]]",91,49,54,72,4,43.7255,0.4615,0.126,0.137,,,,37.1121,
"[[ 99 165], [118 155], [137 145], [158 124]]",99,165,158,124,4,72.6403,0.4615,0.3575,0.2076,,,,37.3188,
"[[36 93], [48 73]]",36,93,48,73,2,23.3238,0.0,0.1452,0.2423,,,,30.3668,
"[[85 62], [81 70], [79 74], [72 89], [ 68 100], [ 65 112], [ 56 134]]",85,62,56,134,7,77.8131,0.0,0.1361,0.0027,,,,30.7564,
"[[132 103], [127 117], [137 125], [145 145], [138 163]]",132,103,138,163,5,68.5262,0.7059,0.5361,0.4401,,,,40.7843,
"[[85 76], [72 89], [ 74 102], [ 83 123], [ 91 140]]",85,76,91,140,5,73.1733,0.4118,0.2854,0.1374,,,,36.6119,
"[[63 99], [ 67 111], [ 71 119], [ 79 136], [ 90 155], [104 173]]",63,99,104,173,6,85.1397,0.1905,0.2646,0.0885,,,,33.5329,
"[[127 117], [125 119], [120 121], [ 98 117], [ 85 114], [ 62 108], [ 43 103], [ 35 105]]",127,117,35,105,8,95.5788,0.0,0.1764,0.1653,,,,30.8834,
"[[ 63 128], [ 67 111], [72 89], [75 80], [81 70], [85 62], [89 47]]",63,128,89,47,7,85.6425,0.44,0.1774,0.0664,,,,37.1043,
"[[127 104], [121 113], [114 121], [ 99 137], [ 81 151]]",127,104,81,151,5,66.182,0.0,0.1201,0.0246,,,,30.6732,
"[[169  63], [182  77], [171  91], [159 101]]",169,63,159,101,4,52.53,0.0,0.3175,0.0951,,,,30.5756,
"[[86 62], [100  76]]",86,62,100,76,2,19.799,0.4,0.1453,0.0462,,,,36.0616,
"[[123 129], [ 99 135], [ 88 139], [ 90 155], [ 94 171]]",123,129,94,171,5,69.0603,0.3529,0.3862,0.1067,,,,35.7403,
"[[143  39], [155  53], [182  77], [165  86], [143  87], [139  76]]",143,39,139,76,6,107.5267,0.4286,0.6146,0.0429,,,,37.0978,
"[[127  71], [102  70], [96 77], [80 85], [72 89], [63 99], [ 41 111], [ 19 131], [ 17 131]]",127,71,17,131,9,131.318,0.5758,0.4967,0.3846,,,,39.3729,
"[[64 77], [85 75]]",64,77,85,75,2,21.095,0.0,0.0678,0.0293,,,,30.3508,
"[[ 50 127], [ 57 125], [ 71 119], [ 92 115], [115 117], [121 113], [132 103], [138 100], [147  94], [165  86]]",50,127,165,86,10,126.2758,0.1622,0.3154,0.1944,,,,33.4223,
"[[97 21], [78  8], [64 46], [59 63], [66 92]]",97,21,66,92,5,111.0716,0.9412,0.8375,0.7991,,,,44.4533,
"[[ 67 111], [ 92 115], [115 117], [121 113], [132 103], [138 100], [147  94], [175  92]]",67,111,175,92,8,116.0781,0.2069,0.3421,0.2493,,,,33.9886,
"[[126  67], [102  70], [96 77], [80 85], [72 89], [66 92], [ 39 104]]",126,67,39,104,7,96.4939,0.4,0.2827,0.2085,,,,36.6099,
"[[68 91], [ 74 102], [ 92 115], [114 121], [137 125], [145 145], [138 163]]",68,91,138,163,7,121.7362,0.68,0.4188,0.4022,,,,40.7944,
"[[120 121], [125 119], [127 117], [138 100], [147  94], [168  90]]",120,121,168,90,6,60.6563,0.2857,0.3826,0.2082,,,,34.7192,
"[[ 48 127], [ 72 126], [ 98 130], [116 124], [137 125]]",48,127,137,125,5,90.3242,0.0,0.1101,0.1809,,,,30.8458,
"[[127 104], [111  88], [93 80], [85 76], [78 70], [76 68], [75 67], [62 52], [59 50]]",127,104,59,50,9,88.1866,0.4545,0.3642,0.2878,,,,37.3299,
"[[ 85 114], [ 74 102], [64 77], [64 46], [78  8], [88  0]]",85,114,88,0,6,127.5078,0.9524,0.5998,0.5798,,,,44.731,
"[[120 121], [115 108], [114  85], [105  65], [102  70]]",120,121,102,70,5,64.7128,0.2941,0.311,0.0043,,,,34.8683,
"[[114  55], [97 65], [85 75], [80 78], [72 89], [ 74 102], [ 78 109]]",114,55,78,109,7,75.9912,0.2,0.3585,0.0176,,,,33.6033,
"[[109 129], [116 124], [124 120], [125 119], [127 117], [138 100], [147  94], [151  92], [165  87], [182  77], [167  71]]",109,129,167,71,11,108.0711,0.4146,0.5458,0.4574,,,,36.9015,
"[[ 71 119], [ 67 111], [72 89], [80 78], [85 75], [96 55]]",71,119,96,55,6,73.7631,0.3333,0.1666,0.064,,,,35.4936,
"[[168 102], [141  97], [124  92], [111  88], [93 80], [80 85], [72 89], [66 92], [ 43 103], [ 39 100]]",168,102,39,100,10,138.5543,0.7838,0.5234,0.5197,,,,42.399,
"[[128 104], [115 117], [ 98 117], [ 85 114], [ 66 111]]",128,104,66,111,5,67.9618,0.0,0.095,0.0302,,,,30.6859,
"[[127  71], [124  85], [116 103], [115 117], [ 98 130], [ 88 139], [ 90 155], [104 173], [108 175]]",127,71,108,175,9,126.3059,0.2424,0.6405,0.1874,,,,34.5694,
"[[168  90], [151  92], [124  85], [111  88], [93 80], [64 77]]",168,90,64,77,6,107.204,0.1429,0.2335,0.0439,,,,33.01,
"[[124  92], [117 109], [115 117], [ 98 130], [ 79 136], [ 67 137], [ 47 141]]",124,92,47,141,7,100.3945,0.0,0.2024,0.0216,,,,30.9178,
"[[ 30 115], [ 39 104], [50 82], [54 72], [64 46], [78  8], [111  19], [131  27]]",30,115,131,27,8,174.2592,0.9655,0.8882,0.8606,,,,45.2526,
"[[ 99 137], [107 135], [127 124], [155 131], [158 124], [162 114], [167 108]]",99,137,167,108,7,86.1297,0.4,0.2883,0.1,,,,36.5358,
"[[63 99], [71 87]]",63,99,71,87,2,14.4222,0.0,0.0808,0.0162,,,,30.3031,
"[[119  72], [97 65], [73 56], [64 46], [78  8], [79  7]]",119,72,79,7,6,104.0836,0.9524,0.6471,0.5093,,,,44.5635,
"[[ 22 119], [ 30 115], [ 42 105], [64 92], [79 74], [86 62]]",22,119,86,62,6,87.4418,0.0,0.2982,0.0241,,,,30.8252,
"[[ 65 112], [ 68 100], [80 85], [93 80], [111  88], [109  81]]",65,112,109,81,6,72.4849,0.5238,0.1328,0.0162,,,,38.2086,
"[[161  64], [182  77], [171  96], [168 102], [166 104], [162 114], [158 124], [137 145], [122 162]]",161,64,122,162,9,130.1,0.4545,0.7278,0.2409,,,,37.6296,
"[[165  86], [164 105]]",165,86,164,105,2,19.0263,0.0,0.0479,0.145,,,,30.336,
"[[124 120], [116 124], [ 98 130], [ 79 136], [ 67 137], [ 52 144]]",124,120,52,144,6,76.4373,0.0,0.0595,0.0437,,,,30.7465,
"[[171  91], [164 105]]",171,91,164,105,2,15.6525,0.0,0.0199,0.117,,,,30.3119,
"[[129  29], [155  53], [182  77], [171  96], [168 102], [166 104], [162 114], [158 124], [137 145], [124 158], [117 170]]",129,29,117,170,11,186.5159,0.4634,0.7474,0.7292,,,,38.1602,
"[[167 113], [171  96], [182  77], [174  65], [157  41], [130  21]]",167,113,130,21,6,116.8524,0.381,0.671,0.3648,,,,36.4838,
"[[109 129], [127 124], [137 125], [145 145], [124 158]]",109,129,124,158,5,74.9703,0.2941,0.4124,0.1105,,,,34.9417,
"[[ 65 150], [ 68 148], [ 88 139], [ 99 135], [109 129], [116 124], [124 120], [125 119], [127 117], [138 100], [147  94], [151  92], [165  87], [182  77], [162  65]]",65,150,162,65,15,164.1433,0.2982,0.5649,0.503,,,,35.6379,
"[[109  81], [124  85], [142  91], [147  94], [159 101], [162 114]]",109,81,162,114,6,67.5629,0.1429,0.2654,0.1196,,,,32.7265,
"[[162 114], [158 124], [155 131], [127 124], [ 98 117], [ 78 109], [ 60 103]]",162,114,60,103,7,117.595,0.36,0.391,0.0208,,,,36.1888,
"[[57 54], [56 55], [48 73], [36 93]]",57,54,36,93,4,44.4357,0.0769,0.3062,0.2662,,,,31.6174,
"[[171  91], [166 104], [162 114], [158 124], [155 131], [144 151], [138 160], [130 164], [128 167]]",171,91,128,167,9,89.2767,0.0303,0.4081,0.0363,,,,31.2716,
"[[169  63], [155  53], [143  39]]",169,63,143,39,3,35.6437,0.2222,0.1436,0.0925,,,,33.6323,
"[[ 32 109], [ 39 104], [50 82], [54 72], [64 46], [78  8], [111  19]]",32,109,111,19,7,147.1081,0.96,0.8943,0.834,,,,44.9798,
"[[157 118], [166 104], [168 102], [171  96], [182  77], [155  53], [143  39], [114  29], [94  4]]",157,118,94,4,9,165.3897,0.3333,0.7324,0.394,,,,36.1487,
"[[ 67 111], [72 89], [75 80], [81 70], [85 62], [96 42], [98 39]]",67,111,98,39,7,79.085,0.28,0.3729,0.1305,,,,34.7695,
"[[114  29], [143  39], [155  53], [182  77], [171  96], [168 102], [166 104], [162 114], [158 124], [145 145]]",114,29,145,145,10,162.9696,0.4054,0.7198,0.7198,,,,37.1625,
"[[ 35 105], [ 48 127], [ 52 135], [ 55 140], [ 62 149]]",35,105,62,149,5,51.7308,0.4118,0.0836,0.055,,,,36.4586,
"[[ 99 135], [ 85 114], [ 74 102], [64 77], [59 50], [76 20]]",99,135,76,20,6,130.3844,0.9524,0.5215,0.4966,,,,44.7516,
"[[53 64], [54 72], [63 99], [ 59 112], [ 58 138]]",53,64,58,138,5,76.1435,0.3529,0.2181,0.0142,,,,35.7909,
"[[123 164], [137 145], [158 124], [162 114], [166 104], [168 102], [171  96], [182  77], [155  53], [143  39], [114  29]]",123,164,114,29,11,191.5707,0.4878,0.6989,0.6878,,,,38.5453,
"[[ 65 150], [ 84 156], [ 99 165], [115 167], [138 163]]",65,150,138,163,5,76.8875,0.4706,0.2132,0.1799,,,,37.4793,
"[[121 168], [127 165], [145 145], [157 118], [159 101]]",121,168,159,101,5,80.2793,0.2353,0.3181,0.149,,,,34.1388,
"[[161  43], [174  65], [182  77], [165  86], [143  87], [119  72], [105  65], [96 42], [98 39]]",161,43,98,39,9,153.4923,0.8788,0.6539,0.1244,,,,43.8643,
"[[ 76 114], [ 66 125], [ 48 139]]",76,114,48,139,3,37.6696,0.0,0.0684,0.0059,,,,30.4693,
"[[173  97], [165 101], [141  97], [132 103], [121 113], [115 117], [ 98 117], [ 83 123], [ 72 126], [ 56 134]]",173,97,56,134,10,128.6149,0.8378,0.4853,0.4388,,,,43.1001,
"[[ 91 140], [ 84 156], [ 99 165], [118 155]]",91,140,118,155,4,56.428,0.7692,0.3363,0.1198,,,,41.603,
"[[62 52], [75 67], [76 68], [78 70], [85 75], [93 80], [111  88], [125 113], [137 125], [145 145], [145 159]]",62,52,145,159,11,142.9904,0.7561,0.5698,0.5376,,,,42.0346,
"[[ 39 104], [64 92], [72 89], [80 85], [93 80], [111  88], [114  85]]",39,104,114,85,7,83.0879,0.2,0.1174,0.0187,,,,33.6541,
"[[ 89 169], [ 84 156], [ 79 136], [ 76 114], [ 74 102], [75 80]]",89,169,75,80,6,90.9358,0.1905,0.2785,0.0773,,,,33.5743,
"[[128 167], [145 145], [137 125], [127 117], [132 103], [141  97]]",128,167,141,97,6,87.8325,0.7619,0.6078,0.3167,,,,41.7232,
"[[ 43 103], [64 92], [72 89], [80 85], [93 80], [111  88], [109  81]]",43,103,109,81,7,82.101,0.28,0.1606,0.0162,,,,34.791,
"[[120 180], [126 177], [138 160], [144 151], [155 131], [158 124], [162 114], [166 104], [168 102], [171  96], [182  77], [161  64]]",120,180,161,64,12,146.5047,0.0889,0.6104,0.2302,,,,32.5188,
"[[116 185], [104 173], [ 90 155], [ 88 139], [ 83 123], [ 74 102], [72 89], [79 74]]",116,185,79,74,8,125.2149,0.4828,0.456,0.3712,,,,37.9993,
"[[96 42], [91 49], [86 62], [82 70], [72 89], [ 68 100], [ 65 112], [ 56 134], [ 52 144], [ 48 152], [ 46 158]]",96,42,46,158,11,126.8288,0.0,0.3767,0.0019,,,,31.1068,
"[[ 83 123], [ 98 117], [115 117], [121 113], [132 103], [141  97], [165 101]]",83,123,165,101,7,90.3804,0.28,0.2111,0.1745,,,,34.8502,
"[[137 181], [142 160], [145 145], [137 125], [125 113], [111  88], [93 80], [82 70], [73 56], [60 41], [76 20]]",137,181,76,20,11,201.5057,1.0,0.7855,0.6577,,,,45.9408,
"[[147  94], [141  97], [132 103], [121 113], [115 117], [ 98 117], [ 83 123], [ 72 126], [ 52 135]]",147,94,52,135,9,106.091,0.4545,0.3873,0.0312,,,,37.4579,
"[[128  73], [143  87], [165  86], [182  77], [174  65], [173  55]]",128,73,173,55,6,86.2485,0.381,0.4846,0.1731,,,,36.265,
"[[98 39], [96 42], [105  65], [119  72], [143  87], [171  91]]",98,39,171,91,6,100.5424,0.9048,0.3542,0.3342,,,,43.8575,
"[[137  73], [130  81], [124  92], [117 109], [115 117], [ 99 137]]",137,73,99,137,6,75.4036,0.0,0.2286,0.1117,,,,30.7391,
"[[68 91], [72 89], [80 85], [93 80], [111  88], [117 109]]",68,91,117,109,6,68.8828,0.2857,0.1388,0.1123,,,,34.778,
"[[137 145], [158 124], [162 114], [166 104], [168 102], [171  96], [182  77], [155  53], [143  39], [136  41]]",137,145,136,41,10,144.5743,0.4865,0.6525,0.6503,,,,38.1907,
"[[ 50 127], [ 72 126], [ 98 130], [123 129]]",50,127,123,129,4,73.3486,0.0769,0.0478,0.1458,,,,31.8241,
"[[ 30 115], [ 41 111], [ 67 111], [ 92 115], [114 121], [124 120]]",30,115,124,120,6,95.8761,0.0,0.0603,0.117,,,,30.8855,
"[[89 47], [91 49], [96 55], [119  72], [143  87], [165  86], [182  77], [167  71]]",89,47,167,71,8,124.9549,0.2069,0.5817,0.1792,,,,34.0521,
"[[ 66 111], [ 67 111], [ 92 115], [115 117], [121 113], [132 103], [138 100], [147  94], [151  92], [165  87], [182  77], [174  65], [168  44]]",66,111,168,44,13,164.3306,0.4286,0.542,0.5349,,,,37.5039,
"[[59 50], [62 52], [73 56], [85 62], [105  65], [126  67]]",59,50,126,67,6,70.0454,0.0,0.1837,0.0271,,,,30.7008,
"[[66 92], [72 89], [80 85], [93 80], [111  88], [124  85], [143  87], [165  86], [182  77], [174  65], [161  43], [156  38]]",66,92,156,38,12,170.0305,0.6,0.7051,0.3066,,,,39.9957,
"[[174  65], [182  77], [165  87], [151  92], [124  85], [111  88], [93 80], [85 75]]",174,65,85,75,8,119.3774,0.5172,0.5009,0.0098,,,,38.4495,
"[[128  73], [124  92], [125 113], [137 125], [145 145], [138 163]]",128,73,138,163,6,98.2647,0.619,0.6777,0.4698,,,,39.7543,
"[[ 66 125], [ 72 126], [ 98 130], [116 124], [137 125]]",66,125,137,125,5,72.3861,0.0,0.1111,0.1809,,,,30.7176,
"[[96 70], [119  72], [143  87], [165  86], [182  77]]",96,70,182,77,5,92.6468,0.2353,0.2605,0.2098,,,,34.2272,
"[[125 113], [132 103]]",125,113,132,103,2,12.2066,0.0,0.0152,0.1123,,,,30.2873,
"[[ 72 150], [ 77 153], [ 84 156], [ 89 162], [108 166]]",72,150,108,166,5,40.6735,0.2353,0.1978,0.0649,,,,33.8556,
"[[127 147], [138 160], [130 164], [124 166], [ 99 165]]",127,147,99,165,5,57.3182,0.0588,0.2936,0.2935,,,,31.4507,
"[[145 145], [137 125], [127 124], [ 98 117], [ 85 114], [ 62 108], [ 39 100]]",145,145,39,100,7,122.8864,0.44,0.3217,0.1123,,,,37.3706,
"[[64 46], [64 77], [ 74 102], [ 83 123], [ 88 139], [ 90 155], [ 92 156]]",64,46,92,156,7,115.8968,0.44,0.4283,0.4116,,,,37.3207,
"[[157 146], [144 151], [124 158], [ 99 165], [ 84 156], [ 77 153], [ 72 150], [ 68 148], [ 48 139], [ 19 131]]",157,146,19,131,10,148.5062,0.4865,0.272,0.3081,,,,38.2188,
"[[128 167], [130 164], [138 160], [144 151], [155 131], [158 124], [162 114], [166 104], [168 102], [171  96], [182  77], [155  53], [148  60]]",128,167,148,60,13,152.8637,0.102,0.7698,0.3481,,,,32.7516,
"[[ 77 153], [ 81 151], [ 99 137], [117 128]]",77,153,117,128,4,47.4003,0.0,0.0191,0.1171,,,,30.5389,
"[[128 167], [124 166], [ 99 165], [ 84 156], [ 77 153], [ 72 150], [ 52 144], [ 47 141]]",128,167,47,141,8,86.7942,0.4138,0.1477,0.0559,,,,36.7379,
"[[ 50 127], [ 59 112], [ 68 100], [80 85], [96 70], [114  55]]",50,127,114,55,6,97.0647,0.3333,0.1511,0.0472,,,,35.6602,
"[[111  88], [93 80], [85 76], [78 70], [76 68], [60 57]]",111,88,60,57,6,60.1064,0.0476,0.1278,0.1045,,,,31.3104,
"[[102  70], [96 77], [80 85], [72 89], [ 74 102], [ 76 114], [ 79 136]]",102,70,79,136,7,83.5744,0.44,0.345,0.1,,,,37.0896,
