Trajectory,StartX,StartY,EndX,EndY,N_nodes,length,Prob_collision_Brute_force,Prob_collision_IDA,Expected Probability Collision,Prob_collision_real_world,Prob_collision_robotino_calibration_error,Prob_collision_robotino_lights_error,Risk,Prob_collision_robotino_object_detection_error
"[[128 185], [132 179], [142 152], [144 127], [131 120], [132 115], [130  95]]",128,185,130,95,7,101.0469,0.68,0.6189,0.316,0.9,0.9,0.95,40.6465,
"[[ 45 163], [ 41 139], [ 38 119], [ 42 103]]",45,163,42,103,4,61.0472,0.3077,0.251,0.2343,0.5,0.45,0.55,35.0366,
"[[ 28 142], [ 45 136], [ 69 135]]",28,142,69,135,3,42.0486,0.0,0.0071,0.0253,0.1,0.15,0.2,30.5006,
"[[156  59], [153  54], [175  69], [178  94], [164  90], [138  84], [123  87], [100  83], [78 80]]",156,59,78,80,9,159.7268,0.8485,0.7105,0.5493,1.0,1.0,1.0,43.4756,
"[[119 117], [121 110], [125 101], [130  95], [131  94], [159  91], [174  93], [188  67]]",119,117,188,67,8,99.1761,0.0345,0.3377,0.3588,0.3,0.25,0.4,31.4025,
"[[90 74], [73 96], [ 79 114], [ 76 137]]",90,74,76,137,4,69.9714,0.4615,0.2245,0.1913,0.65,0.7,0.7,37.2997,
"[[166 118], [161 103], [131  89], [117  89], [91 82], [69 73]]",166,118,69,73,6,113.6128,0.0,0.3983,0.035,0.35,0.4,0.4,31.0123,
"[[ 40 125], [ 51 123], [ 68 122]]",40,125,68,122,3,28.2097,0.0,0.0575,0.0405,0.1,0.1,0.1,30.4017,
"[[ 75 118], [ 73 101], [77 85], [103  71]]",75,118,103,71,4,63.1393,0.4615,0.2495,0.1054,0.65,0.65,0.7,37.2509,
"[[129  79], [138  84], [164  90], [178  94], [175  69], [153  54], [143  42], [124  36]]",129,79,124,36,8,138.8909,1.0,0.6667,0.6407,1.0,1.0,1.0,45.4931,
"[[81  5], [60 51], [63 58], [65 63], [69 73], [73 96], [ 79 114], [ 89 128], [ 94 138]]",81,5,94,138,9,145.0419,0.9394,0.9271,0.9146,1.0,1.0,1.0,44.6705,
"[[131  94], [117  89], [91 82], [69 73], [63 66], [61 64], [50 58]]",131,94,50,58,7,90.1396,0.08,0.2019,0.1314,0.25,0.2,0.3,31.9885,
"[[166  62], [175  69], [178  94], [159  91], [131  94], [130  95], [125 101], [119 108], [110 117], [ 99 120], [ 75 118], [ 51 123], [ 35 127], [ 26 134]]",166,62,26,134,14,203.0431,0.9245,0.6296,0.2699,1.0,1.0,1.0,44.8721,
"[[141 172], [143 157], [144 127], [131 120], [135 107]]",141,172,135,107,5,73.5157,0.7059,0.5665,0.2269,0.9,0.9,1.0,40.82,
"[[ 26 134], [ 33 127], [ 38 119], [ 45 101], [50 98], [61 92], [66 86]]",26,134,66,86,7,64.8178,0.92,0.3081,0.2914,1.0,1.0,1.0,43.8194,
"[[135  28], [98 13], [81  5], [60 51], [61 58], [66 86], [ 63 111], [ 61 126]]",135,28,61,126,8,185.1061,0.7931,0.9117,0.8917,1.0,1.0,1.0,42.8648,
"[[ 40 125], [ 54 146], [ 59 152], [ 67 156], [ 77 161], [102 168], [127 162]]",40,125,127,162,7,104.8452,0.0,0.0475,0.0935,0.25,0.3,0.5,30.9496,
"[[130  73], [131  94]]",130,73,131,94,2,21.0238,0.0,0.0185,0.0786,0.05,0.1,0.1,30.3503,
