N_Epochs;N_games;memory_size;batch_size;gamma;lr;anneal_lr;epsilon;entropy_coef;value_loss_coef;relevant_segments;done_after_collision;model_arch
4;100;40;8;0.7;0.00075;True;-1;0.01;0.5;0;True;normal

step;episode;value;action[-10°];action[-5°];action[0°];action[5°];action[10°];reward;collision_status;length_ratio
1;40;0.92;0.2;0.2;0.2;0.2;0.2;-0.0;0;0
2;40;0.95;0.2;0.2;0.2;0.2;0.2;0.0;0;0
3;40;0.89;0.2;0.2;0.2;0.2;0.2;0.0;0;0
4;40;0.97;0.2;0.2;0.2;0.2;0.2;0.0;0;0
5;40;0.93;0.2;0.2;0.2;0.2;0.2;0.0;0;0
6;40;0.93;0.2;0.2;0.2;0.2;0.2;0.0;0;0
7;40;0.89;0.2;0.2;0.2;0.2;0.2;-0.0;0;0
1;41;0.67;0.27;0.19;0.15;0.08;0.3;0.0;0;0
2;41;0.59;0.26;0.22;0.15;0.08;0.29;0.0;0;0
3;41;0.66;0.23;0.19;0.17;0.1;0.32;0.0;0;0
1;42;0.15;0.3;0.18;0.12;0.12;0.28;1;1;0
1;43;-0.09;0.29;0.22;0.17;0.11;0.21;-0.0;0;0
2;43;-0.07;0.26;0.23;0.18;0.1;0.23;0.01;0;0
3;43;0.17;0.27;0.2;0.21;0.11;0.21;0.01;0;0
4;43;0.16;0.25;0.18;0.21;0.1;0.26;-0.01;0;0
5;43;0.35;0.23;0.15;0.21;0.1;0.3;0.0;0;0
1;44;-0.03;0.31;0.18;0.14;0.15;0.22;0.0;0;0
2;44;-0.1;0.27;0.22;0.14;0.14;0.23;-0.0;0;0
3;44;0.06;0.23;0.22;0.14;0.12;0.29;-0.03;0;0
4;44;-0.2;0.23;0.21;0.16;0.11;0.28;-0.03;0;0
5;44;0.26;0.25;0.18;0.17;0.12;0.28;-0.01;0;0
6;44;0.31;0.22;0.17;0.17;0.12;0.31;0.0;0;0
7;44;0.85;0.22;0.19;0.21;0.13;0.25;0.0;0;0
8;44;0.93;0.19;0.2;0.21;0.12;0.29;-0.0;0;0
1;45;0.61;0.21;0.15;0.21;0.09;0.34;0.0;0;0
1;46;0.09;0.23;0.18;0.19;0.1;0.3;0.0;0;0
2;46;0.48;0.25;0.18;0.18;0.09;0.3;-0.0;0;0
3;46;0.64;0.23;0.15;0.2;0.1;0.31;0.0;0;0
1;47;1.06;0.17;0.14;0.2;0.1;0.38;0.0;0;0
2;47;1.18;0.17;0.14;0.2;0.11;0.38;0.0;0;0
3;47;1.48;0.17;0.15;0.21;0.12;0.35;0.0;0;0
4;47;2.25;0.19;0.11;0.24;0.15;0.31;0.01;0;0
5;47;0.69;0.22;0.15;0.21;0.11;0.31;0.0;0;0
1;48;0.55;0.15;0.17;0.2;0.09;0.39;1;1;0
1;49;0.59;0.19;0.23;0.13;0.06;0.4;1;1;0
1;50;0.54;0.24;0.14;0.17;0.1;0.35;0.0;0;0
2;50;0.57;0.24;0.19;0.15;0.07;0.35;0.0;0;0
1;51;0.67;0.23;0.15;0.2;0.1;0.32;0.0;0;0
1;52;0.37;0.18;0.14;0.16;0.11;0.41;0.0;0;0
2;52;0.38;0.17;0.12;0.18;0.13;0.4;0.0;0;0
3;52;0.49;0.19;0.15;0.18;0.09;0.39;0.0;0;0
4;52;0.74;0.19;0.12;0.19;0.11;0.38;0.0;0;0
1;53;0.41;0.25;0.32;0.15;0.13;0.15;0.01;0;0
2;53;0.61;0.25;0.18;0.22;0.18;0.16;0.0;0;0
3;53;0.54;0.25;0.25;0.19;0.1;0.21;-0.01;0;0
4;53;0.7;0.22;0.18;0.18;0.1;0.31;-0.01;0;0
5;53;0.38;0.21;0.18;0.19;0.11;0.32;-0.0;0;0
6;53;0.61;0.21;0.17;0.17;0.09;0.37;0.01;0;0
1;54;-0.42;0.33;0.18;0.15;0.09;0.24;-0.01;0;0
2;54;-0.31;0.31;0.17;0.17;0.13;0.21;1;1;0
1;55;0.41;0.22;0.19;0.16;0.11;0.33;0.0;0;0
2;55;0.4;0.22;0.22;0.14;0.08;0.34;-0.0;0;0
3;55;0.47;0.23;0.24;0.12;0.07;0.33;0.0;0;0
4;55;0.48;0.24;0.21;0.16;0.06;0.33;-0.01;0;0
5;55;0.39;0.22;0.23;0.16;0.07;0.31;-0.01;0;0
1;56;1.87;0.19;0.22;0.17;0.09;0.33;0.0;0;0
