N_Epochs;N_games;memory_size;batch_size;gamma;lr;anneal_lr;epsilon;entropy_coef;value_loss_coef;relevant_segments;done_after_collision;model_arch
4;100;40;8;0.7;0.00075;True;-1;0.01;0.5;0;True;normal

step;episode;value;action[-10°];action[-5°];action[0°];action[5°];action[10°];reward;collision_status;length_ratio
2;26;0.02;0.2;0.2;0.2;0.2;0.2;0.01;0;0
3;26;0.01;0.2;0.2;0.2;0.2;0.2;1;1;0
1;27;0.02;0.2;0.2;0.2;0.2;0.2;0.0;0;0
2;27;0.02;0.2;0.2;0.2;0.2;0.2;1;1;0
1;28;0.02;0.2;0.2;0.2;0.2;0.2;0.0;0;0
2;28;0.02;0.2;0.2;0.2;0.2;0.2;0.01;0;0
3;28;0.01;0.2;0.2;0.2;0.2;0.2;0.01;0;0
4;28;0.02;0.2;0.2;0.2;0.2;0.2;0.0;0;0
5;28;0.02;0.2;0.2;0.2;0.2;0.2;-0.0;0;0
6;28;0.01;0.2;0.2;0.2;0.2;0.2;0.0;0;0
1;29;0.02;0.2;0.2;0.2;0.2;0.2;-0.01;0;0
2;29;0.02;0.2;0.2;0.2;0.2;0.2;-0.01;0;0
3;29;0.02;0.2;0.2;0.2;0.2;0.2;-0.02;0;0
4;29;0.02;0.2;0.2;0.2;0.2;0.2;-0.01;0;0
5;29;0.03;0.2;0.2;0.2;0.2;0.2;-0.0;0;0
6;29;0.01;0.2;0.2;0.2;0.2;0.2;0.0;0;0
1;30;0.02;0.2;0.2;0.2;0.2;0.2;0.0;0;0
2;30;0.02;0.2;0.2;0.2;0.2;0.2;0.02;0;0
3;30;0.01;0.2;0.2;0.2;0.2;0.2;1;1;0
1;31;0.02;0.2;0.2;0.2;0.2;0.2;0.0;0;0
2;31;0.02;0.2;0.2;0.2;0.2;0.2;0.0;0;0
3;31;0.01;0.2;0.2;0.2;0.2;0.2;-0.01;0;0
4;31;0.02;0.2;0.2;0.2;0.2;0.2;-0.01;0;0
5;31;0.02;0.2;0.2;0.2;0.2;0.2;-0.01;0;0
6;31;0.01;0.2;0.2;0.2;0.2;0.2;-0.0;0;0
1;32;0.02;0.2;0.2;0.2;0.2;0.2;0.0;0;0
2;32;0.02;0.2;0.2;0.2;0.2;0.2;0.01;0;0
3;32;0.02;0.2;0.2;0.2;0.2;0.2;1;1;0
1;33;0.02;0.2;0.2;0.2;0.2;0.2;0.0;0;0
2;33;0.02;0.2;0.2;0.2;0.2;0.2;0.02;0;0
3;33;0.01;0.2;0.2;0.2;0.2;0.2;1;1;0
1;34;0.02;0.2;0.2;0.2;0.2;0.2;-0.0;0;0
2;34;0.02;0.2;0.2;0.2;0.2;0.2;-0.01;0;0
3;34;0.01;0.2;0.2;0.2;0.2;0.2;-0.02;0;0
4;34;0.02;0.2;0.2;0.2;0.2;0.2;0.0;0;0
5;34;0.01;0.2;0.2;0.2;0.2;0.2;0.01;0;0
6;34;0.02;0.2;0.2;0.2;0.2;0.2;0.0;0;0
1;35;0.02;0.2;0.2;0.2;0.2;0.2;-0.01;0;0
2;35;0.02;0.2;0.2;0.2;0.2;0.2;0.01;0;0
3;35;0.01;0.2;0.2;0.2;0.2;0.2;1;1;0
1;36;0.02;0.2;0.2;0.2;0.2;0.2;-0.0;0;0
2;36;0.02;0.2;0.2;0.2;0.2;0.2;-0.01;0;0
3;36;0.02;0.2;0.2;0.2;0.2;0.2;-0.02;0;0
4;36;0.02;0.2;0.2;0.2;0.2;0.2;-0.01;0;0
5;36;0.03;0.2;0.2;0.2;0.2;0.2;0.01;0;0
6;36;0.02;0.2;0.2;0.2;0.2;0.2;0.0;0;0
1;37;0.02;0.2;0.2;0.2;0.2;0.2;-0.0;0;0
