Trajectory,StartX,StartY,EndX,EndY,N_nodes,length,Prob_collision_Brute_force,Prob_collision_IDA,Expected Probability Collision,Prob_collision_real_world,Prob_collision_robotino_calibration_error,Prob_collision_robotino_lights_error,Prob_collision_robotino_object_detection_error
"[[ 57 140], [ 76 129], [ 82 126], [ 99 117], [106 114], [112 111], [117 107], [127 101]]",57,140,127,101,8,80.2871,0,0.0695,0.096,,,,
"[[122 166], [107 170], [ 94 162], [ 87 148], [ 91 132], [ 95 115], [ 97 105], [104  93], [109  80], [108  74], [105  69], [122  50], [125  40]]",122,166,125,40,13,166.2656,0.5714,0.6153,0.5159,,,,
"[[ 95 123], [ 95 115], [ 97 105], [104  93], [108  84], [113  78]]",95,123,113,78,6,49.7496,0.0952,0.2439,0.1221,,,,
"[[135  95], [131  90]]",135,95,131,90,2,6.4031,0,0.0629,0.0341,,,,
"[[104  93], [94 81], [90 65]]",104,93,90,65,3,32.1129,0,0.0129,0.0289,,,,
"[[ 76 143], [ 80 134], [ 83 124], [ 93 113], [ 97 105], [104  93], [120  83]]",76,143,120,83,7,76.8599,0.44,0.2388,0.1172,,,,
"[[ 91 132], [102 122], [106 114], [110 104]]",91,132,110,104,4,34.5807,0,0.0437,0.0712,,,,
"[[ 76 129], [ 95 123]]",76,129,95,123,2,19.9249,0,0.0962,0.0008,,,,
"[[ 73 141], [ 75 138], [ 82 126], [ 83 124], [ 93 113], [96 99], [92 82], [91 58]]",73,141,91,58,8,90.403,0.2759,0.1903,0.0705,,,,
"[[148  52], [137  72], [134  74], [117  90], [111  95], [ 97 105], [ 93 113], [ 84 123], [ 73 126]]",148,52,73,126,9,108.5908,0.9697,0.4724,0.4599,,,,
"[[167 108], [157 127], [151 133], [136 147], [119 156], [102 166], [ 82 159], [ 72 151], [ 57 134], [ 52 128]]",167,108,52,128,10,153.9106,0.4054,0.6174,0.6063,,,,
"[[ 97 138], [ 99 117]]",97,138,99,117,2,21.095,0,0.0142,0.0828,,,,
"[[135  85], [116 101], [101 114]]",135,85,101,114,3,44.6889,0.2222,0.1285,0.066,,,,
"[[117 107], [110 104], [98 97], [91 89], [80 78]]",117,107,80,78,5,47.6947,0.4706,0.0854,0.0037,,,,
"[[125 176], [107 170], [ 94 162], [ 87 148], [ 91 132], [ 95 123], [ 94 105], [89 98], [81 86]]",125,176,81,86,9,117.284,0.6667,0.5537,0.4071,,,,
"[[167 108], [157 127], [151 133], [136 147], [118 159], [113 163], [108 169], [107 170], [ 94 162], [ 87 148], [ 94 141], [103 128], [105 126], [110 122], [116 117], [121 114]]",167,108,121,114,16,167.2358,0.4426,0.7727,0.7704,,,,
"[[ 73 126], [ 83 124], [ 93 113], [94 97], [88 73], [92 50]]",73,126,92,50,6,89.1792,0.4286,0.328,0.3187,,,,
"[[ 82 126], [ 87 148], [ 94 162], [107 170], [108 169], [130 165]]",82,126,130,165,6,77.2527,0.4762,0.3723,0.234,,,,
"[[84 87], [91 96], [ 95 115], [ 91 132], [ 87 148], [ 94 162], [107 170], [108 169], [114 164], [136 147], [149 133], [153 124], [173  98], [174  97]]",84,87,174,97,14,195.8896,0.8113,0.4928,0.3832,,,,
"[[108  52], [114  54], [128  69], [134  74], [137  76], [146  85]]",108,52,146,85,6,50.9866,0.0476,0.1292,0.0509,,,,
"[[108  84], [117  90], [120  92], [131  98]]",108,84,131,98,4,26.9522,0,0.0329,0.0809,,,,
"[[153 124], [149 133], [136 147], [119 156], [102 166], [ 80 164]]",153,124,80,164,6,90.003,0.4762,0.3191,0.0309,,,,
"[[ 97 174], [ 94 162], [ 87 148], [ 94 141], [103 128], [105 126], [112 111], [116 101], [119  96]]",97,174,119,96,9,89.7153,0.4545,0.2962,0.0528,,,,
"[[123  91], [120  93], [116 101], [106 114], [ 97 124]]",123,91,97,124,5,42.4047,0,0.0644,0.0518,,,,
"[[131  98], [120  92], [117  90], [115  88], [101  83]]",131,98,101,83,5,33.83,0.1176,0.0249,0.0185,,,,
"[[115  88], [111  95], [106 114], [102 122], [ 96 134], [ 87 148], [ 94 162], [107 170], [108 169], [121 164], [134 165]]",115,88,134,165,11,126.011,0.7073,0.7358,0.6999,,,,
"[[115  88], [105  87]]",115,88,105,87,2,10.0499,0,0.0837,0.0133,,,,
"[[135  95], [130  98], [117 107], [112 111], [106 114], [ 99 117], [ 82 126]]",135,95,82,126,7,61.6048,0,0.0964,0.0114,,,,
"[[114 164], [102 166], [ 82 159], [ 67 155]]",114,164,67,155,4,48.8793,0.3846,0.0184,0.0366,,,,
"[[108  52], [105  62], [101  73], [95 90], [ 94 105]]",108,52,94,105,5,55.2061,0.5294,0.2102,0.0931,,,,
"[[133 176], [125 176], [107 170], [ 94 162], [ 87 148], [ 94 141], [101 127], [106 114], [110 104], [115  97], [115  88]]",133,176,115,88,11,125.7435,0.561,0.7017,0.5151,,,,
"[[101 114], [ 95 123], [ 91 132], [ 87 148], [ 94 162], [107 170], [108 169], [114 164], [136 147], [149 133], [153 124], [156 115]]",101,114,156,115,12,143.5428,0.3778,0.646,0.4216,,,,
"[[110 104], [106 114], [ 97 124], [ 80 134], [ 73 141], [ 71 144]]",110,104,71,144,6,57.4521,0,0.0418,0.0823,,,,
"[[ 52 128], [ 66 123], [ 77 120], [ 95 115], [91 96], [98 71], [97 55], [98  8], [97  8]]",52,128,97,8,9,154.3692,0.303,0.6969,0.3479,,,,
"[[ 70 155], [ 72 151], [ 76 143], [ 91 132], [102 122], [106 114], [110 104], [117  90]]",70,155,117,90,8,82.2506,0,0.1103,0.0807,,,,
"[[97  8], [98  8], [96 39], [91 69]]",97,8,91,69,4,62.4783,0.6154,0.5546,0.4842,,,,
"[[97 62], [95 68], [98 95], [ 99 117], [ 94 135]]",97,62,94,135,5,74.195,0.2941,0.1719,0.0629,,,,
"[[137 153], [118 159], [109 164]]",137,153,109,164,3,30.2205,0,0.0175,0.0634,,,,
"[[ 97 137], [ 94 135], [ 76 129], [ 55 123]]",97,137,55,123,4,44.4195,0,0.0506,0.0334,,,,
"[[89 98], [91 96], [98 71], [97 55], [98  8], [97  8]]",89,98,97,8,6,92.8318,0.4762,0.5649,0.3479,,,,
"[[125 129], [106 133], [ 97 137], [ 87 148], [ 94 162], [107 170], [108 169]]",125,129,108,169,7,76.4624,0.28,0.5297,0.0773,,,,
"[[145  76], [142  83], [135  95], [130  98], [117 107], [114 112], [105 126], [103 128], [ 97 137], [ 87 148], [ 94 162], [102 174], [ 94 182]]",145,76,94,182,13,135.5244,1,0.7128,0.0605,,,,
"[[123  57], [117  79], [104  93], [ 97 105], [ 93 113], [ 83 124]]",123,57,83,124,6,79.6113,0.2381,0.3107,0.0884,,,,
"[[ 77 121], [ 80 126], [ 87 148], [ 94 162], [ 97 174]]",77,121,97,174,5,56.9395,0.4118,0.2117,0.0967,,,,
"[[144  75], [119  82], [108  84]]",144,75,108,84,3,37.1418,0,0.0377,0.0094,,,,
"[[ 97 138], [ 97 137]]",97,138,97,137,2,1,0,0.0867,0.0104,,,,
"[[185  44], [154  58], [128  69], [119  82], [117  90], [110 104], [106 114], [102 122], [ 96 134], [ 87 148], [ 94 162], [107 170], [108 169], [113 163], [120 154]]",185,44,120,154,15,203.2733,1,0.6872,0.6801,,,,
"[[89 98], [ 94 105], [ 93 113], [ 83 124], [ 76 129], [ 57 134], [ 49 138], [ 47 139]]",89,98,47,139,8,70.9602,0.4483,0.1963,0.1206,,,,
"[[ 96 134], [103 128], [105 126], [110 122], [116 117], [121 114]]",96,134,121,114,6,32.0923,0,0.0803,0.0894,,,,
"[[ 74 122], [ 80 134], [ 86 156]]",74,122,86,156,3,36.2199,0,0.0401,0.0221,,,,
"[[115  88], [111  95], [106 114], [102 122], [ 96 134], [ 87 148], [ 94 162], [107 170], [125 176], [138 180]]",115,88,138,180,10,130.2051,0.6757,0.7227,0.6838,,,,
"[[78 69], [92 50], [96 39], [98  8], [85  3]]",78,69,85,3,5,80.2984,0.6471,0.7241,0.3979,,,,
"[[ 80 164], [ 87 148], [ 91 132], [ 95 123], [ 94 105], [89 98], [84 87], [78 65]]",80,164,78,65,8,105.3222,0.7241,0.3328,0.1724,,,,
"[[143  83], [138  89], [135  95], [130  98], [117 107], [114 112], [105 126], [103 128], [ 97 137], [ 87 148], [ 94 162], [107 170], [108 169], [114 164], [136 147], [151 133], [157 127], [169 111]]",143,83,169,111,18,204.0939,0.2754,0.615,0.4136,,,,
"[[128  62], [119  82], [117  90], [110 104], [106 114], [102 122], [ 96 134], [ 87 148], [ 94 162], [107 170], [125 176]]",128,62,125,176,11,145.4952,0.4878,0.7605,0.1362,,,,
"[[108 160], [112 179]]",108,160,112,179,2,19.4165,0,0.0078,0.1049,,,,
"[[185  44], [154  58], [128  69], [117  79], [108  84], [91 96]]",185,44,91,96,6,108.2162,1,0.5343,0.5143,,,,
"[[134  74], [120  93], [110 104], [103 118]]",134,74,103,118,4,54.1194,0.2308,0.0959,0.0718,,,,
"[[154 115], [149 133], [136 147], [119 156], [102 166], [ 82 159], [ 72 151], [ 57 140], [ 50 133]]",154,115,50,133,9,139.2414,0.5758,0.5546,0.0798,,,,
"[[158 136], [150 147], [148 149], [146 152], [137 156], [121 164], [108 169], [107 170], [ 94 162], [ 87 148], [ 94 141], [103 128], [105 126], [110 122], [121 112]]",158,136,121,112,15,143.8408,0.2456,0.8037,0.1209,,,,
"[[108  84], [92 82]]",108,84,92,82,2,16.1245,0.4,0.0901,0.0069,,,,
"[[ 57 124], [ 66 123], [ 85 118], [101 114], [116 101], [120  93]]",57,124,120,93,6,73.9884,0.3333,0.1123,0.1114,,,,
"[[ 57 140], [ 76 129], [ 83 124], [ 93 113], [ 97 105], [104  93], [120  83], [127  76], [137  72], [148  52]]",57,140,148,52,10,130.6228,0.2432,0.4467,0.0888,,,,
"[[ 57 134], [ 57 140], [ 70 155]]",57,134,70,155,3,25.8494,0.1111,0.0623,0.0358,,,,
"[[ 86 158], [ 87 148], [ 94 141], [101 127], [106 114], [110 104], [115  97]]",86,158,115,97,7,68.9029,0.12,0.1506,0.0602,,,,
"[[101 127], [ 96 134], [ 87 148], [ 94 162], [107 170], [108 169], [114 164], [136 147], [151 133], [157 127], [169 111]]",101,127,169,111,11,142.1934,0.4634,0.5949,0.4136,,,,
"[[144  75], [142  80], [138  89], [135  95], [130  98], [117 107], [114 112], [105 126], [103 128], [ 97 137], [ 87 148], [ 94 162], [107 170], [108 169], [121 164], [137 156], [139 153], [148 149]]",144,75,148,149,18,172.1724,0.2174,0.8252,0.3276,,,,
"[[89 98], [92 93], [101  73], [104  70], [122  50], [125  40]]",89,98,125,40,6,69.3529,0.5714,0.2947,0.2459,,,,
"[[90 65], [94 81], [98 95], [103 118]]",90,65,103,118,4,54.5898,0,0.3084,0.0948,,,,
"[[111 173], [ 94 162], [ 87 148], [ 91 132], [ 95 115], [91 96], [98 71]]",111,173,98,71,7,115.2356,0.72,0.517,0.5087,,,,
"[[84  1], [98  8], [96 46], [109  50]]",84,1,109,50,4,67.3065,0.6923,0.6245,0.3593,,,,
"[[ 42 135], [ 48 133], [ 66 123], [ 85 118], [101 114], [116 101]]",42,135,116,101,6,82.9046,0.2381,0.1051,0.1048,,,,
"[[80 78], [101  73], [117  79]]",80,78,117,79,3,38.675,0.4444,0.0707,0.0345,,,,
"[[122 122], [119 124], [106 133], [ 97 137], [ 87 148], [ 94 162], [107 170], [108 169], [114 164], [136 147], [149 133]]",122,122,149,133,11,131.181,0.3171,0.8125,0.3604,,,,
"[[92 50], [95 68], [98 95], [ 95 115], [ 91 132], [ 87 148], [ 94 162], [102 171], [109 164]]",92,50,109,164,9,137.1884,0.7576,0.5914,0.1549,,,,
"[[ 81 123], [ 82 126], [ 87 148], [ 94 162], [107 170], [108 169], [130 165]]",81,123,130,165,7,80.415,0.4,0.3848,0.234,,,,
"[[92 82], [105  87], [120  92], [130  98]]",92,82,130,98,4,41.4017,0,0.0356,0.077,,,,
"[[134  74], [128  69], [103  51], [96 46], [96 39]]",134,74,96,39,5,54.2184,0.2941,0.1093,0.0347,,,,
"[[103 118], [ 96 134], [ 87 148], [ 94 162], [107 170], [108 169], [121 164], [137 156], [139 153], [148 149], [150 147], [158 136]]",103,118,158,136,12,128.1398,0.4444,0.6914,0.3822,,,,
"[[105 132], [110 118], [112 111], [116 101], [119  96], [123  91], [137  72], [148  52]]",105,132,148,52,8,91.5769,0.2759,0.4959,0.0888,,,,
"[[108  84], [120  83], [143  83]]",108,84,143,83,3,35.0416,0,0.003,0.0798,,,,
"[[117  82], [104  93], [ 97 105], [ 95 115], [ 85 118], [ 78 116], [ 58 115], [ 53 110]]",117,82,53,110,8,85.9363,0.2759,0.3218,0.2221,,,,
"[[104  93], [94 81], [98 71]]",104,93,98,71,3,26.3908,0,0.0069,0.0082,,,,
"[[94 46], [105  62], [113  78], [117  82], [123  91], [130  98], [133 106]]",94,46,133,106,7,72.222,0,0.2205,0.0782,,,,
"[[142  80], [135  85], [116 101], [101 114], [ 85 118], [ 74 122], [ 56 116]]",142,80,56,116,7,100.462,0.32,0.3358,0.1502,,,,
"[[106 114], [110 104], [117  90]]",106,114,117,90,3,26.4228,0,0.0435,0.0807,,,,
"[[121 164], [111 173], [ 99 185]]",121,164,99,185,3,30.4242,1,0.2018,0.0733,,,,
"[[97 55], [108  74], [109  80], [115  97]]",97,55,115,97,4,46.065,0.4615,0.0844,0.0689,,,,
"[[ 80 126], [ 87 148], [ 94 162], [107 170], [108 169], [114 164], [136 147]]",80,126,136,147,7,91.0309,0.48,0.4225,0.2946,,,,
"[[106 133], [ 97 137], [ 87 148], [ 94 162], [107 170], [108 169], [121 164], [137 156], [139 153], [148 149]]",106,133,148,149,10,102.3173,0.4054,0.6605,0.3276,,,,
"[[138 180], [125 176], [107 170], [ 94 162], [ 86 158], [ 73 170]]",138,180,73,170,6,74.4756,1,0.2415,0.0015,,,,
"[[128  69], [119  82], [117  90], [110 104], [106 114], [102 122], [ 96 134], [ 87 148], [ 94 162], [107 170], [108 169], [114 164], [136 147], [149 133], [153 124], [156 115]]",128,69,156,115,16,195.8692,0.6557,0.672,0.3477,,,,
"[[ 99 117], [ 85 118], [ 67 120], [ 50 124]]",99,117,50,124,4,49.6107,0.3846,0.0515,0.0206,,,,
"[[144 171], [129 171], [107 170], [ 94 162], [ 87 148], [ 94 143], [106 133], [119 124]]",144,171,119,124,8,107.9737,0.4138,0.5599,0.1227,,,,
"[[108 169], [114 164], [136 147], [151 133], [157 127], [164 111]]",108,169,164,111,6,82.0809,0.381,0.3542,0.3293,,,,
"[[153 134], [138 150], [118 159], [113 163], [108 169], [107 170], [ 94 162], [ 87 148], [ 91 132], [ 95 115], [91 96], [98 71], [96 46]]",153,134,96,46,13,194.8224,0.5918,0.7995,0.4754,,,,
"[[ 73 126], [ 76 129], [ 94 135]]",73,126,94,135,3,23.2163,0,0.0803,0.0055,,,,
"[[111 173], [109 162]]",111,173,109,162,2,11.1803,0,0.0396,0.0574,,,,
"[[118 159], [113 163], [108 169], [107 170], [ 94 162], [ 87 148], [ 76 129]]",118,159,76,129,7,68.4989,0.24,0.3142,0.1607,,,,
"[[153 147], [149 133]]",153,147,149,133,2,14.5602,0,0.0074,0.1044,,,,
"[[122 122], [119 129]]",122,122,119,129,2,7.6158,0,0.0014,0.0985,,,,
"[[ 66 123], [ 75 136], [ 87 148], [ 94 162], [107 170], [123 173], [133 176]]",66,123,133,176,7,90.4179,0.36,0.2739,0.1603,,,,
"[[123 173], [107 170], [ 94 162], [ 87 148], [ 75 136], [ 66 123], [ 58 115]]",123,173,58,115,7,91.2913,0.48,0.2665,0.1808,,,,
"[[88 73], [92 82], [95 90], [98 95], [ 95 115], [ 91 132], [ 87 148], [ 94 162], [107 170], [108 169], [114 164], [136 147], [149 133], [154 115]]",88,73,154,115,14,184.1349,0.6415,0.6176,0.4227,,,,
"[[122 122], [119 124], [106 133], [ 97 137], [ 87 148], [ 94 162], [107 170], [122 166], [144 171]]",122,122,144,171,9,113.1339,0.303,0.7725,0.1847,,,,
"[[109 125], [ 97 137], [ 87 148], [ 94 162], [107 170], [108 169], [121 164], [137 156], [146 152], [153 147]]",109,125,153,147,10,114.4358,0.4054,0.722,0.3386,,,,
"[[98 97], [94 81]]",98,97,94,81,2,16.4924,0,0.0665,0.0305,,,,
"[[139 158], [121 164], [108 169], [107 170], [ 94 162], [ 87 148], [ 91 132], [ 95 123], [ 94 105], [92 93], [101  73]]",139,158,101,73,11,143.6994,0.4878,0.7717,0.4929,,,,
"[[113 163], [108 169], [107 170], [ 94 162], [ 87 148], [ 91 132], [ 95 123], [ 93 113], [98 97], [91 89]]",113,163,91,89,10,104.0738,0.5135,0.5486,0.4427,,,,
"[[98 97], [96 99], [ 95 115], [ 85 118], [ 78 116]]",98,97,78,116,5,36.5801,0.2941,0.1958,0.0459,,,,
"[[150 137], [156 115], [158 104]]",150,137,158,104,3,33.9838,0.7778,0.3767,0.1082,,,,
"[[105  62], [101  73], [95 90], [98 95], [ 95 115], [ 85 118], [ 78 116]]",105,62,78,116,7,73.5076,0.68,0.3158,0.2257,,,,
"[[ 47 139], [ 57 140], [ 76 143]]",47,139,76,143,3,29.2853,0,0.0428,0.0542,,,,
"[[ 97 138], [ 94 141], [ 87 148], [ 94 162], [107 170], [108 169], [114 164], [136 147], [149 133], [153 124], [156 115], [165  87]]",97,138,165,87,12,149.9378,0.4,0.5347,0.4206,,,,
"[[175  96], [173  98], [167 108], [157 127], [151 133], [136 147], [118 159], [113 163], [108 169], [107 170], [ 94 162], [ 87 148], [ 94 141], [103 128], [105 126], [110 118]]",175,96,110,118,16,171.1158,0.377,0.802,0.7943,,,,
"[[101  83], [115  88], [117  90], [127 101], [133 106]]",101,83,133,106,5,40.3708,0,0.0962,0.0836,,,,
"[[96 99], [84 87], [80 78], [75 72]]",96,99,75,72,4,34.6297,0.3846,0.0111,0.0125,,,,
"[[130 165], [122 166], [107 170], [ 94 162], [ 87 148], [ 94 141], [101 127], [106 114], [110 104], [115  97], [120  83], [128  62]]",130,165,128,62,12,150.6945,0.5778,0.6837,0.534,,,,
"[[ 80 126], [ 87 148], [ 94 162], [111 173]]",80,126,111,173,4,58.9877,0.4615,0.2662,0.145,,,,
"[[98 95], [101 114]]",98,95,101,114,2,19.2354,0,0.027,0.0701,,,,
"[[128  69], [117  79], [104  93], [ 97 105], [ 93 113], [ 83 124], [ 76 129], [ 57 134], [ 48 133]]",128,69,48,133,9,108.9784,0.3333,0.3865,0.1781,,,,
"[[101  73], [95 90], [98 95], [ 95 115], [ 85 118], [ 65 117], [ 52 111]]",101,73,52,111,7,88.8656,0.76,0.394,0.3774,,,,
"[[104  70], [101  73], [95 90], [98 95], [ 95 115], [ 85 118], [ 67 120], [ 50 124]]",104,70,50,124,8,94.3404,0.6897,0.3691,0.324,,,,
"[[ 75 138], [ 82 126], [ 83 124], [ 93 113], [ 97 105], [104  93]]",75,138,104,93,6,53.8313,0.381,0.1646,0.0435,,,,
"[[98 71], [98 95], [ 95 115], [ 91 132], [ 87 148], [ 94 162], [107 170], [108 169], [114 164], [136 147]]",98,71,136,147,10,146.1246,0.8649,0.6721,0.1989,,,,
"[[95 90], [101  73], [104  70], [122  50], [125  40]]",95,90,125,40,5,59.618,0.7059,0.261,0.236,,,,
"[[138  89], [135  95], [130  98], [117 107], [114 112], [105 126], [103 128], [ 97 137], [ 87 148], [ 94 162], [107 170], [108 169], [114 164], [136 147], [151 133], [157 127], [164 111]]",138,89,164,111,17,193.7479,0.2615,0.6356,0.4215,,,,
"[[111 122], [114 112], [117 107], [120  92]]",111,122,120,92,4,31.5683,0,0.1061,0.0937,,,,
"[[127 101], [117 107], [103 118]]",127,101,103,118,3,29.4664,0,0.0095,0.074,,,,
"[[ 57 140], [ 76 129], [ 83 124], [ 93 113], [ 94 105], [94 81]]",57,140,94,81,6,77.4852,0.3333,0.1755,0.154,,,,
"[[135  95], [130  98], [117 107], [114 112], [105 126], [103 128], [ 97 137], [ 87 148], [ 94 162], [107 170], [108 169], [114 164]]",135,95,114,164,12,112.769,0.2,0.7405,0.1063,,,,
"[[137 184], [133 180], [125 176], [107 170], [ 94 162], [ 87 148], [ 94 143], [ 97 138], [113 130]]",137,184,113,130,9,96.8134,0.3636,0.4232,0.0976,,,,
"[[150 128], [149 133], [136 147], [118 159], [113 163], [108 169], [107 170], [ 94 162], [ 87 148], [ 75 136], [ 66 123], [ 55 116]]",150,128,55,116,12,138.2021,0.4444,0.6095,0.578,,,,
"[[107  84], [109  80], [128  69], [154  58], [160  64]]",107,84,160,64,5,63.1431,1,0.2342,0.1211,,,,
"[[151 133], [136 147], [118 159], [113 163], [108 169], [ 94 182]]",151,133,94,182,6,75.4699,1,0.3547,0.0713,,,,
"[[175  96], [173  98], [167 108], [157 127], [151 133], [136 147], [118 159], [113 163], [108 169], [107 170], [ 94 162], [ 87 148], [ 83 124]]",175,96,83,124,13,157.4736,0.3469,0.7343,0.711,,,,
"[[102 122], [ 91 132], [ 87 139], [ 76 157]]",102,122,76,157,4,44.0233,0,0.0029,0.0033,,,,
"[[150 147], [148 149], [146 152], [137 156], [121 164], [108 169], [107 170], [ 94 162], [ 87 148], [ 94 143], [105 132]]",150,147,105,132,11,104.5895,0.1951,0.5967,0.0634,,,,
"[[144  75], [142  80], [138  89], [135  95], [130  98], [117 107], [114 112], [105 126], [103 128], [ 97 137], [ 87 148], [ 94 162], [107 170], [108 169], [113 163], [118 159], [138 150], [153 133]]",144,75,153,133,18,185.7177,0.2174,0.761,0.3735,,,,
"[[116 101], [121 114], [119 124]]",116,101,119,124,3,24.1264,0,0.0751,0.1048,,,,
"[[117 107], [114 112], [105 126], [103 128], [ 97 137], [ 87 148], [ 94 162], [107 170], [108 169], [114 164], [138 158]]",117,107,138,158,11,115.8653,0.2683,0.7831,0.277,,,,
"[[ 76 143], [ 73 141], [ 57 134], [ 48 133]]",76,143,48,133,4,30.1252,0,0.0682,0.0302,,,,
"[[ 86 156], [ 72 151], [ 57 140]]",86,156,57,140,3,33.4671,0.1111,0.0504,0.0476,,,,
"[[115 101], [106 114], [102 122], [ 96 134], [ 87 148], [ 94 162], [107 170], [108 169], [114 164], [116 163]]",115,101,116,163,10,97.1927,0.2973,0.6407,0.1193,,,,
"[[92 82], [107  84], [117  82], [137  76]]",92,82,137,76,4,46.2114,0.4615,0.0779,0.0888,,,,
"[[98  8], [97 32], [95 68], [98 95], [ 95 115], [ 91 132], [ 87 148], [ 94 162], [107 170], [108 169], [114 164], [136 147], [149 133], [154 116], [164  91], [195  60]]",98,8,195,60,16,316.9585,1,0.5627,0.5294,,,,
"[[ 97 124], [ 99 117], [ 97 105], [104  93], [109  80]]",97,124,109,80,5,47.2665,0.2353,0.2789,0.1006,,,,
"[[154 115], [149 133], [136 147], [118 159], [113 163], [108 169], [107 170], [ 94 162], [ 87 148], [ 91 132], [ 95 115], [91 96], [98 71], [97 55], [98  8], [84  1]]",154,115,84,1,16,263.9932,0.5082,0.9007,0.4967,,,,
"[[127  76], [120  83], [117  90], [110 104], [106 114], [102 122], [ 91 132], [ 87 139], [ 76 157]]",127,76,76,157,9,96.9057,0.2727,0.2452,0.0033,,,,
"[[ 58 116], [ 66 123], [ 75 136], [ 87 148], [ 94 162]]",58,116,94,162,5,59.0646,0.1765,0.0901,0.0362,,,,
"[[143  83], [138  89], [135  95], [130  98], [117 107], [114 112], [102 122], [ 91 132]]",143,83,91,132,8,72.4783,0,0.1916,0.0367,,,,
"[[117  90], [111  95], [ 97 105], [ 93 113], [ 83 124], [ 76 129], [ 57 134]]",117,90,57,134,7,77.0744,0.32,0.1807,0.0746,,,,
"[[91 96], [ 94 105], [ 93 113], [ 84 123], [ 82 126], [ 75 138], [ 73 141]]",91,96,73,141,7,52.1063,0.44,0.1342,0.052,,,,
"[[114 164], [108 169], [107 170], [ 94 162], [ 87 148], [ 94 141], [101 133], [111 125]]",114,164,111,125,8,73.4772,0.3448,0.4733,0.3515,,,,
"[[96 39], [96 46], [108  52]]",96,39,108,52,3,20.4164,0,0.0145,0.0342,,,,
"[[112 111], [106 114], [ 99 117], [ 78 116], [ 58 116]]",112,111,58,116,5,55.3478,0.2941,0.0982,0.0334,,,,
"[[112 111], [105 126], [103 128], [ 97 137], [ 87 148], [ 94 162], [107 170], [108 169], [114 164], [136 147], [149 133], [153 124], [160 109], [174  91]]",112,111,174,91,14,181.3185,0.3585,0.5158,0.3962,,,,
"[[107  84], [104  93], [ 97 105], [ 95 115], [ 91 132], [ 87 148], [ 94 162], [107 170], [108 169], [114 164], [136 147], [151 133], [157 127], [169 111]]",107,84,169,111,14,184.4817,0.4151,0.5528,0.4136,,,,
"[[134  74], [117  90], [111  95], [ 97 105], [ 93 113], [ 83 124], [ 76 129], [ 54 131]]",134,74,54,131,8,102.8635,0.3103,0.3406,0.0864,,,,
"[[94 97], [96 99], [ 95 115], [ 91 132], [ 87 148], [ 94 162], [107 170], [108 169], [114 164], [136 147], [149 133], [153 124], [160 109]]",94,97,160,109,13,166.2672,0.7755,0.5838,0.4291,,,,
"[[ 56 132], [ 73 126], [ 83 124], [ 93 113], [96 99], [92 82], [91 58]]",56,132,91,58,7,98.8948,0.32,0.2254,0.0705,,,,
"[[117  82], [115  88], [116 101], [101 114]]",117,82,101,114,4,39.2124,0.0769,0.2501,0.066,,,,
"[[92 82], [97 62]]",92,82,97,62,2,20.6155,0,0.0491,0.0479,,,,
"[[154 115], [149 133], [136 147], [118 159], [113 163], [108 169], [107 170], [ 94 162], [ 87 148], [ 91 132], [ 95 123], [ 94 105], [92 93]]",154,115,92,93,13,162.4988,0.5714,0.8099,0.8054,,,,
"[[ 82 140], [ 87 148], [ 94 162], [102 171]]",82,140,102,171,4,37.1281,0.3846,0.146,0.1033,,,,
"[[105  87], [107  84], [109  80], [108  74], [114  54]]",105,87,114,54,5,35.0411,0.2941,0.1977,0.0923,,,,
"[[89 40], [95 68], [98 95], [ 95 115], [ 91 132], [ 87 148], [ 94 162], [107 170], [108 169], [114 164], [136 147], [149 133], [153 124], [173  98], [175  96]]",89,40,175,96,15,242.5111,0.9123,0.4875,0.3842,,,,
"[[97  8], [98  8], [96 46]]",97,8,96,46,3,39.0526,0.4444,0.4184,0.3014,,,,
"[[ 82 167], [ 87 148], [ 91 132], [ 95 115], [ 97 105], [104  93], [109  80], [108  74], [104  70]]",82,167,104,70,9,103.362,0.6364,0.3403,0.3048,,,,
"[[145  76], [142  83], [135  95], [130  98], [117 107], [112 111], [106 114], [ 99 117], [ 81 123], [ 73 126], [ 57 134], [ 49 138]]",145,76,49,138,12,118.2281,0,0.3519,0.0356,,,,
"[[ 67 120], [ 76 129], [ 87 148], [ 94 162], [107 170], [108 169], [114 164], [136 147], [149 133]]",67,120,149,133,9,121.7315,0.4242,0.4295,0.3604,,,,
"[[138 180], [125 176], [107 170], [ 94 162], [ 87 148], [ 94 143], [106 133], [119 129]]",138,180,119,129,8,101.3162,0.4138,0.4723,0.117,,,,
"[[78  0], [85  3], [98  8], [97 32], [95 68], [98 95], [ 93 113], [ 84 123], [ 80 134], [ 76 143]]",78,0,76,143,10,162.4754,0.7568,1.0596,0.8017,,,,
"[[135  85], [117  90], [104  93], [91 96]]",135,85,91,96,4,45.3649,0.2308,0.0873,0.0052,,,,
"[[94 46], [95 68], [98 95], [ 95 115], [ 91 132], [ 87 148], [ 94 162], [107 170], [108 169], [113 163], [118 159], [138 150], [150 137]]",94,46,150,137,13,189.5372,0.8367,0.599,0.5899,,,,
"[[148 149], [144 171]]",148,149,144,171,2,22.3607,0.4,0.2021,0.1031,,,,
"[[ 96 134], [101 127], [106 114], [111  95], [108  74]]",96,134,108,74,5,63.3908,0.2941,0.4023,0.0726,,,,
