Trajectory,StartX,StartY,EndX,EndY,N_nodes,length,Prob_collision_Brute_force,Prob_collision_IDA,Expected Probability Collision,Prob_collision_real_world,Prob_collision_robotino_calibration_error,Prob_collision_robotino_lights_error,Prob_collision_robotino_object_detection_error
"[[133 171], [115 167], [100 166], [ 94 162], [ 87 142], [ 91 125], [ 94 117], [ 99 106], [97 96], [90 78], [85 72], [83 68]]",133,171,83,68,12,141.758,0.4444,0.5631,0.0153,,,,
"[[ 98 134], [ 97 126], [ 99 106], [97 96], [92 77], [96 68], [98 56]]",98,134,98,56,7,80.0213,0,0.2856,0.0235,,,,
"[[86 90], [90 78], [95 59], [92 35]]",86,90,92,35,4,56.4828,0.2308,0.2011,0.1278,,,,
"[[109  59], [110  74], [107  91], [103 111], [ 99 123], [ 97 126], [ 87 142], [ 94 162], [100 166], [104 162], [115 158], [131 153], [144 148], [153 118]]",109,59,153,118,14,195.5893,0.8302,0.54,0.5317,,,,
"[[74 72], [83 80], [86 90], [ 99 106], [ 91 118], [ 85 131], [ 74 150]]",74,72,74,150,7,93.792,0.32,0.2337,0.0116,,,,
"[[162 106], [159 113], [157 118], [152 134], [138 149], [126 155], [113 162], [100 166], [ 94 162], [ 87 142], [ 91 125], [ 94 117], [ 99 106], [97 96], [92 77], [89 70], [86 64]]",162,106,86,64,17,202.7259,0.8154,0.7019,0.0028,,,,
"[[92 38], [95 59], [92 77], [97 96], [ 99 106], [ 94 117], [ 91 125], [ 87 142], [ 94 162], [100 166], [113 162], [126 155], [135 147], [152 134], [157 118], [164  92]]",92,38,164,92,16,241.2961,0.7049,0.5223,0.4633,,,,
"[[116 121], [119 106], [115  98], [110  81], [102  60], [98 56]]",116,121,98,56,6,70.0904,0.2857,0.457,0.0939,,,,
"[[103 126], [ 99 106], [97 96], [92 77], [95 59], [99 30]]",103,126,99,30,6,97.7638,0.2381,0.5507,0.1567,,,,
"[[107  91], [110  74]]",107,91,110,74,2,17.2627,0.4,0.1501,0.0511,,,,
"[[104  59], [110  81], [107  91], [103 111], [ 99 123], [ 97 126], [ 87 142], [ 94 162], [100 166], [113 162], [126 155], [135 147], [152 134], [161 121]]",104,59,161,121,14,194.7835,0.8113,0.4515,0.4438,,,,
"[[93  5], [99 30], [95 59], [92 77], [97 96], [ 99 106], [ 94 117], [ 91 125], [ 87 142], [ 94 162], [100 166], [113 162], [133 155]]",93,5,133,155,13,204.3608,1,0.7827,0.7744,,,,
"[[ 74 122], [ 91 118], [105  98], [120  79], [134  65], [159  58], [157  55], [150  58]]",74,122,150,58,8,123.0666,0.5517,0.4355,0.1711,,,,
"[[122  96], [114 106], [109 122], [107 124], [ 95 137], [ 86 156]]",122,96,86,156,6,71.1133,0.1905,0.3679,0.0383,,,,
