Trajectory,StartX,StartY,EndX,EndY,N_nodes,length,Prob_collision_Brute_force,Prob_collision_Brute_force_8_pix,Prob_collision_IDA,Expected Probability Collision,Prob_collision_real_world,Prob_collision_robotino_calibration_error,Prob_collision_robotino_lights_error,Risk,Prob_collision_robotino_object_detection_error
"[[81 17], [101  23], [117  28], [130  35], [149  48], [161  56], [178  76], [158  93], [145  95], [127 112]]",81,17,127,112,10,180.2618,0.7027,0.8469,0.8916,0.8805,0.95,1.0,1.0,39.7459,
"[[162  74], [161  56], [149  48]]",162,74,149,48,3,32.45,0.3333,0.3593,0.3261,0.0895,0.35,0.4,0.4,34.1315,
"[[87 51], [97 55], [119  70], [131  80], [150  90], [154  88], [178  82], [172  72], [168  62], [157  48], [130  35], [117  28], [105  16]]",87,51,105,16,13,205.6383,0.551,0.7155,0.8575,0.6461,0.8,0.8,0.8,38.7708,
"[[ 88 113], [ 99 118], [125 112], [133 108], [145  95], [158  93], [178  76], [168  62], [157  48], [130  35], [117  28], [101  23], [83 17], [75 12]]",88,113,75,12,14,229.7155,0.9057,1.0,0.7344,0.7244,1.0,1.0,1.0,42.6168,
"[[104  19], [117  28], [130  35], [152  46], [162  52], [175  73], [169  93], [157 112], [151 121], [144 135], [134 165], [131 172], [124 189], [122 191], [120 194]]",104,19,120,194,15,225.4123,0.5263,0.7066,0.8036,0.5967,1.0,1.0,1.0,38.9067,
"[[ 56 149], [ 49 133], [ 43 120], [33 94]]",56,149,33,94,4,59.6388,0.3077,0.3554,0.2984,0.2959,0.4,0.4,0.5,34.1935,
"[[64 58], [82 65], [98 72], [118  81], [118 105]]",64,58,118,105,5,82.7092,0.7647,0.8309,0.3509,0.3592,0.85,0.9,0.9,39.0562,
"[[ 82 154], [ 83 146]]",82,154,83,146,2,8.0623,0.0,0.0064,0.0622,0.0349,0.0,0.0,0.0,30.4974,
"[[ 52 104], [49 94], [44 75]]",52,104,44,75,3,30.0872,0.4444,0.4685,0.2716,0.2218,0.5,0.5,0.55,35.2263,
"[[ 35 147], [ 49 133], [ 55 124], [ 61 114], [67 94], [77 71], [82 65], [87 51]]",35,147,87,51,8,110.9144,0.0345,0.1232,0.1826,0.0558,0.2,0.15,0.2,32.311,
"[[ 29 115], [ 43 120], [ 55 124], [ 79 120], [ 99 118], [125 112], [133 108], [145  95], [158  93], [178  76], [168  62], [157  48], [130  35], [117  28], [101  23], [81 17]]",29,115,81,17,16,282.0514,0.7213,0.9469,0.722,0.7087,1.0,1.0,1.0,41.3926,
"[[136  35], [152  46], [162  52], [175  73], [169  93], [157 112], [151 121], [144 135], [134 165], [129 168], [112 179]]",136,35,112,179,11,183.3007,0.4146,0.5612,0.7671,0.5824,0.7,1.0,1.0,37.0035,
"[[195  59], [181  58], [178  76], [158  93], [145  95], [133 108], [125 112], [123 114]]",195,59,123,114,8,101.1502,1.0,1.0,0.6331,0.3301,1.0,1.0,1.0,41.9041,
"[[131 179], [108 169], [ 81 157], [ 70 138], [ 66 129], [ 62 121], [ 56 109], [49 94]]",131,179,49,94,8,125.3434,0.4828,0.5831,0.3831,0.2434,0.6,0.6,0.8,36.9042,
"[[141 173], [143 170], [148 152], [160 129], [163 122], [169  93], [175  73], [168  62], [149  48]]",141,173,149,48,9,142.9792,0.6061,0.7205,0.6812,0.4508,0.75,0.7,0.9,38.3867,
"[[ 58 100], [ 70 113]]",58,100,70,113,2,17.6918,0.0,0.0142,0.0836,0.0134,0.0,0.0,0.0,30.5679,
"[[ 79 120], [101 119], [123 114], [143 129], [160 129]]",79,120,160,129,5,86.5837,0.5882,0.6575,0.3496,0.1611,0.65,0.7,0.8,37.3178,
"[[119  70], [92 76], [89 78]]",119,70,89,78,3,31.2642,0.4444,0.4694,0.0378,0.0375,0.5,0.5,0.5,35.2349,
"[[55 52], [63 68], [67 94], [ 79 120], [ 85 135], [ 90 152], [103 176], [122 187], [122 191]]",55,52,122,191,9,159.9548,0.5455,0.6735,0.4821,0.2921,0.72,0.8,0.9,37.9044,
"[[ 57 154], [ 81 157], [ 95 160]]",57,154,95,160,3,38.5046,0.2222,0.253,0.0149,0.0144,0.3,0.3,0.3,33.0637,
"[[165  51], [167  59], [172  72], [178  82], [154  88], [133 103], [117 111], [ 99 121], [ 84 126], [ 63 125], [ 43 120]]",165,51,43,120,11,180.3126,0.8537,0.998,0.7884,0.6667,1.0,1.0,1.0,41.377,
"[[ 43 120], [ 48 124], [ 55 136], [ 60 145]]",43,120,60,145,4,30.5912,0.0,0.0245,0.0303,0.0558,0.05,0.1,0.3,30.9007,
"[[51 95], [67 94], [84 84], [89 78], [92 76], [101  73], [118  81], [128  84], [154  88], [178  82], [172  72], [168  62], [157  48], [130  35], [117  28], [101  23], [90 20]]",51,95,90,20,17,250.0631,0.7231,0.9232,0.7974,0.6722,1.0,1.0,1.0,41.2955,
"[[112 179], [129 168], [134 165], [144 135], [125 112], [122 103], [119  78]]",112,179,119,78,7,122.2012,0.6,0.6978,0.6448,0.6447,0.7,0.7,0.7,37.9352,
"[[113 170], [108 169], [ 81 157], [ 92 146], [102 134]]",113,170,102,134,5,65.8224,0.5882,0.6409,0.3656,0.3084,0.65,0.6,0.7,37.1658,
"[[ 43 120], [ 35 137]]",43,120,35,137,2,18.7883,0.0,0.015,0.0743,0.1714,0.0,0.0,0.0,30.5759,
"[[ 56 156], [ 73 164], [ 91 170], [103 176], [122 187], [120 194]]",56,156,120,194,6,80.413,0.5238,0.5881,0.1869,0.1669,0.6,0.6,0.8,36.7472,
"[[ 81 157], [ 86 164], [103 176], [122 187]]",81,157,122,187,4,51.3655,0.2308,0.2719,0.1777,0.0882,0.3,0.3,0.35,33.3632,
"[[154 128], [147 145], [129 155], [113 170]]",154,128,113,170,4,60.9077,0.0,0.0487,0.1733,0.0962,0.0,0.0,0.1,31.1227,
"[[113 170], [108 169], [ 76 163], [ 56 156]]",113,170,56,156,4,58.8463,0.3077,0.3548,0.1628,0.0253,,,,34.1877,
"[[91 51], [97 55], [119  70], [131  80], [150  90], [154  88], [178  82], [172  72]]",91,51,172,72,8,111.8022,0.2759,0.3653,0.3996,0.3405,,,,34.7339,
"[[97 55], [94 60], [82 77], [67 94], [ 53 110]]",97,55,53,110,5,70.5715,0.0,0.0565,0.1333,0.0247,,,,31.3127,
"[[35 94], [ 48 109], [ 63 125], [ 72 134], [ 83 145], [ 90 152], [103 176], [122 187], [120 194]]",35,94,120,194,9,136.4942,0.3939,0.5031,0.2881,0.2389,,,,36.2151,
"[[ 56 109], [ 70 113], [ 88 113], [ 99 118], [125 112], [133 108], [145  95]]",56,109,145,95,7,97.9627,0.48,0.5584,0.2491,0.2158,,,,36.5564,
"[[ 56 149], [ 38 147], [ 31 139], [ 17 130]]",56,149,17,130,4,45.3842,0.2308,0.2671,0.3295,0.4276,,,,33.3194,
"[[153  93], [158  93], [178  76], [165  66]]",153,93,165,66,4,47.65,0.3077,0.3458,0.4279,0.3512,,,,34.1057,
"[[113 170], [ 92 167], [ 83 146], [ 79 120], [67 94], [82 70]]",113,170,82,70,6,127.304,0.1905,0.2923,0.4017,0.0516,,,,33.7543,
"[[157  48], [161  56], [172  72], [178  82], [154  88], [128  84], [118  81], [101  73], [82 70], [63 68]]",157,48,63,68,10,158.6361,0.6486,0.7755,0.6611,0.4821,,,,39.046,
"[[ 68 143], [ 62 128], [ 56 109], [49 94], [49 83]]",68,143,49,83,5,63.6333,0.2941,0.345,0.2841,0.0837,,,,34.2058,
"[[ 70 150], [ 83 145], [ 88 139], [ 89 138], [105 123], [125 112], [133 108], [145  95], [158  93], [178  76], [168  62], [157  48], [130  35], [117  28], [104  19], [99 17], [83  7]]",70,150,83,7,17,253.753,0.6154,0.8184,0.7276,0.7134,,,,40.2445,
"[[ 63 125], [ 67 103], [84 84], [89 78], [92 76], [101  73], [109  70]]",63,125,109,70,7,77.3024,0.48,0.5418,0.185,0.1241,,,,36.4051,
"[[53 59], [71 64], [98 72], [118  81], [128  84], [154  88], [178  82], [172  72], [168  62], [165  51]]",53,59,165,51,10,164.0923,0.7027,0.834,0.7826,0.465,,,,39.6275,
"[[144 135], [125 112], [122 103], [119  78]]",144,135,119,78,4,64.4991,0.8462,0.8978,0.4901,0.1243,,,,39.6195,
"[[ 43 120], [ 48 124], [ 55 136], [ 68 148], [ 70 150], [ 72 153], [ 86 164], [103 176], [122 187], [119 195]]",43,120,119,195,10,113.533,0.1622,0.253,0.1134,0.0423,,,,33.8468,
"[[141  80], [133 103], [127 112]]",141,80,127,112,3,35.1682,0.0,0.0281,0.0674,0.0795,,,,30.8151,
"[[ 62 128], [ 84 126], [ 99 121], [101 119], [123 114], [125 112]]",62,128,125,112,6,66.12,0.0,0.0529,0.0653,0.0761,,,,31.3993,
"[[108 169], [ 92 167], [ 83 146], [ 79 120], [67 94], [77 71], [82 65]]",108,169,82,65,7,126.8035,0.24,0.3414,0.3658,0.0013,,,,34.3653,
"[[131 172], [134 166], [140 157], [145 151], [160 129], [163 122], [169  93], [175  73], [168  62], [157  48], [130  35], [117  28], [104  19]]",131,172,104,19,13,201.4585,0.6327,0.7939,0.7366,0.5045,,,,39.558,
"[[ 99 121], [ 79 120], [ 61 114], [ 53 110]]",99,121,53,110,4,47.9429,0.0,0.0384,0.0263,0.0282,,,,31.0278,
"[[ 35 147], [ 55 138], [ 64 136], [ 84 126], [ 99 121], [101 119], [123 114], [127 112]]",35,147,127,112,8,99.1849,0.1034,0.1827,0.0713,0.0858,,,,32.9148,
"[[ 92 146], [ 76 135], [ 66 129], [ 48 124], [ 31 119], [ 30 120]]",92,146,30,120,6,68.8942,0.2381,0.2932,0.1267,0.2247,,,,33.803,
"[[170  47], [173  56], [178  76], [158  93], [145  95], [133 108], [125 112], [123 114], [101 119], [ 84 109]]",170,47,84,109,10,141.2527,1.0,1.0,0.7464,0.4868,,,,42.4362,
"[[ 92 167], [ 82 154], [ 76 135], [ 71 114], [ 67 103], [84 84], [89 71], [93 63], [96 47]]",92,167,96,47,9,134.2644,0.303,0.4104,0.4108,0.2548,,,,35.2889,
"[[ 99 118], [125 112], [133 108], [145  95], [158  93], [178  76], [173  56]]",99,118,173,56,7,113.3367,0.88,0.9707,0.401,0.3843,,,,40.673,
"[[124 189], [122 187], [103 176], [ 86 164], [ 72 153], [ 70 150], [ 68 148], [ 64 136]]",124,189,64,136,8,82.4792,0.3793,0.4453,0.091,0.0664,,,,35.5542,
"[[145  95], [128  84], [118  81], [109  75], [82 65], [61 59]]",145,95,61,59,6,92.1381,0.1905,0.2642,0.3253,0.1003,,,,33.4967,
"[[81 17], [101  23], [117  28], [130  35], [149  48], [161  56], [172  72], [178  82], [154  88], [133 103], [128 109], [111 119], [ 90 129]]",81,17,90,129,13,222.2692,0.7755,0.9533,0.8932,0.8848,,,,41.1398,
"[[141 173], [125 168], [117 165], [ 92 167], [ 83 146], [ 79 120], [67 94]]",141,173,67,94,7,128.1758,0.28,0.3825,0.4452,0.03,,,,34.7757,
"[[ 88 139], [ 83 145], [ 92 167], [108 169], [141 173]]",88,139,141,173,5,80.946,0.0,0.0648,0.2771,0.1062,,,,31.3887,
